tweet	relevance	sentiment
Morgen. Melde mich von den Stehplatzrängen aus der #SE10-Kampfbahn - #Wiesbaden nach #Frankfurt. # Bahn #Pendlerrant™	true	negative
"Interview: ""Aktuell hat die Polizei eine Anreisezeit von einer Stunde."" - ""Ach, die kommen mit der Bahn?"" #heuteshow"	true	neutral
Na ob der Fdl mich in die nächste S- Bahn-Taktlücke packt? Es wird spannend! *Happy-Cola-futter*	true	neutral
Emnid-Umfrage: Die Bahn ist kundenfreundlich, Versicherungen nicht - Friendsurance präsentiert…... https://t.co/nOXNA43ui6	true	positive
RT @DB_Bahn: @zeitschlag Ob es zu viele sind, kann ich nicht beurteilen. Sie dienen, wie der Name es andeutet, der Überwachung. /ma	true	neutral
DB AG: Umsatz und Gewinn #Diskrepanz http://t.co/ddSIhGQqip	true	neutral
"RT @BahnAnsagen: ""Es dürfen auch die üblichen Einstiege genutzt werden. Diese sind im Fahrpreis inbegriffen."" (@mirkosw) #Bahn #Ansage"	true	neutral
@Homee313 Die Bahn zerstört immer alles	true	negative
Bahn-Chef Grube verspricht mehr Service durch Digitalisierung - https://t.co/c4v7hcMDfC	true	neutral
Die Bahn so: Heut morgen 10min später zur Arbeit gebracht, da sind auf dem Heimweg auch mind. 10min später drin �	true	negative
Alle Deutschen sind pünktlich, außer die Deutsche Bahn #fact #justsaying #dafährtmaneinmalBahnunddannsowas #genervt #Anschlusszugistdannweg	true	negative
03.09.2006 Osnabrück Hbf Bahnhofsfest. DB 753 002 https://t.co/W1iSuDg2Xq	true	neutral
RT @krokodilgemuese: Ganz ernsthaft. Das ist nicht nur für einen „Kundenservice“ unterste Schublade und zutiefst ekelhaft. @DB_Bahn https:/…	true	negative
@funkvn @DB_Bahn Unrealistische Träumerei. 50.000 € für einen 200 km/h-fähigen Reisezugwagen mit NBÜ? Da ist alleine die Rev teurer…	true	negative
@Tom_coal Wer bitte ist @Die_Bahn? @DB_Bahn	true	neutral
RT @BMdFwTHWRd: Hier baut die S-Bahn überall im nächsten Jahr: Vor allem auf der Ringbahn zwischen Gesundbrunnen und Halensee ... https://t…	true	neutral
RT @YoungHustensaft: @juicybae69 @DB_Info hm Nice die Bahn gönnt sich	true	neutral
Wo bleibt meine Bahn? Kann sie bitte heute kommen? Bitte? Es ist soo kalt :(	true	neutral
RT @SPIEGEL_EIL: Bahn-Streik wird beendet... http://t.co/UxpcX7oDFB	true	positive
Die Hamburger S-Bahn ist ziemlich bequem :)	true	positive
S-Bahn is kacke	true	negative
Das taxi-Der S- Bahn-Der bus-Der Bahnhof-Der Rucksack-Der Baum	true	neutral
.@fdprlp @florian_rentsch @Wissing Na ich hoffe Ihr laßt Euch nicht auf krumme DB-Deals bei InterCity-Alimentierungen an der Mosel ein!	true	negative
Hatte ich schon erwähnt, dass Bahnfahren an manchen Tagen ein Ding der Unmöglichkeit ist?!!! #Bahn #DB	true	negative
Wir warten auf das Christkind... Äh... den Gegenzug. #RE10 # Bahn (@ Bahnhof Geldern in Geldern, Nordrhein-Westfalen) https://t.co/zdpfeTBjKv	true	neutral
@alios @Atari_MegaSTe Hachjeee, das waren noch Zeiten … da hat die @DB_Bahn noch ein Interesse dran gehabt, daß im Zug genug Platz ist.	true	negative
@jonaztv @DB_Bahn I weiß not it liegt in the eye of the Betrachter	true	neutral
"RT @dasLovry: Achja und die Leute in der Bahn haben noch lautstark ""Die Lochis - Mein letzter Tag"" gehört. So eine Raum sollte evakuiert …"	true	negative
@alasKAgirl26 Nein, stornierte Tickets sind nicht mehr gültig, auch wenn sie noch nicht in der Buchungsrückschau sind. /da	true	neutral
und statt zur Bahn zu rennen laufe und tweete ich	true	neutral
Steigen 7 junge Männer auf dem Weg zur Party aus der Bahn. Ohne Maskierung, aber alle mit der selben Frisur. Wow, wie individuell.	true	neutral
"Anderes störende Zeug in Bahn sollte dann auch extra kosten: ""Voller Fahrpreis für Sie und nochmal ein halber für Ihr nervtötendes Organ."""	true	negative
HAHAHA... falsche Bahn! Sauber! � 45min wieder zurück fahren..	true	neutral
"RT @sentinelhaus: Kampagne ""Wer steckt wirklich hinter dem SHI ?"" - Teil 2 Der Mann, bei dem sich die Bahn Card 100 lohnt: unser... http:/…"	true	neutral
Verkehr: Bahn plant mehr Baustellen - Folgen sollen gemildert werden https://t.co/cLCC5DtU7y	true	neutral
@DB_Bahn Hab euch Samstag Mittag ne E-Mail geschrieben, wäre gut, wenn ihr heute mal gucken könntet. Ist dringend.	true	neutral
Endet die Friedenspflicht von #Bahn und #GDL eigentlich vor oder nach Inkrafttreten des Tarifeinheitsgesetzes? #streik	true	negative
Mal dran gedacht die Sitzplätze im Fernverkehr an die Menge der Fahrgäste anzupassen?Oder findet ihr 70€ für nen Stehplatz fair?@DB_Bahn	true	neutral
Ok ich sitze jetzt wirklich mit in der Bahn. Bin meinem Bruder eventuell etwas peinlich aber weeeell...	true	neutral
RT @Huebscherei: Zwei Lehrer steigen mit ihrer Klasse (14+) in die Berliner S-Bahn. Sie (lächelnd): Hab gezählt, alle da. Er: Kein Grund z…	true	neutral
@DB_Bahn Hab verschwitzt die Bahncard zu kündigen, keine neuen Tickets gebucht. Kann ich die noch irgendwie (nachträglich) kündigen?	true	neutral
Kommt ein Typ mir mit seinem Gesicht bis auf 20cm nahe, sagt 10 Sekunden nichts und fragt dann was wegen der Bahn. OK. Besoffene Erwachsene.	true	neutral
Diese gar nicht nationalistische Band spielt nachher in Oberhausen? Ich wollte immer schon in einer S-Bahn voll unpolitischer Menschen sein.	true	neutral
#Job #Stellenangebot http://t.co/Sd6jUJnCsg - Deutsche Bahn AG: Quereinstieg zum Fahrdienstleiter (w/m)	false	neutral
Deutsche Bahn investiert weiter massiv in die Infrastruktur in Sachsen https://t.co/RAbkH2qdDw https://t.co/CkKUtTYfFy	true	neutral
Die Bahn wird, laut Aussage Grubes, in Zukunft Flotten mit fahrerlosen Autos betreiben. Ich bin ja auf die Verspätungen gespannt!	true	neutral
Die S-Bahn hat einen neuen Nächste-Haltestelle-Ankündigungston. Ich mag das nicht.	true	negative
@dia_01_ Ampelsystem in München be Like....oh du musst zum Bus oder Bahn....lass mal 10min Rot sein.	true	neutral
@DB_Bahn ist es korrekt,dass von Berlin Zool. Garten bis Berlin Spandau heute kein RB fährt? Kann den RB18920 ab 14:43 nicht mehr finden...	true	neutral
@AsphyxiaPallida joa, das is das doofe am Fahrplanwechsel der @DB_Bahn	true	negative
Mit Hund und 3 Schulklassen in der Bahn. Ich gehe davon aus, dass ich mein vorheriges Leben mit Giftmord und Brandstiftung verbracht habe.	true	neutral
"RT @juni_corn: Tolle Überschrift morgen in der Wirtschaft: ""Fernbusse greifen Billigflieger an"". Das Drehbuch für ""Transformers V"" ist quas…"	false	neutral
Kreditkarte von Freundin u. mir sind gleichzeitig gesperrt. Eigentlich können die nur bei @FlixBus @DB_Bahn weg gekommen sein. ... [1/2]	true	neutral
Meine Bahn ist bis unter's Dach voll!	true	negative
Leute in Lederhosen in der Bahn... Wir sind nicht in München, nicht in Bayern, ja wir sind nicht mal in Deutschland! Wieso?!	true	negative
RT @derBurch: Ob die DB einen ICE vermisst? Vermutlich fällt's nicht auf... #streik http://t.co/U9rLgVVjWv	true	negative
@Dessel575 Deutsche Bahn is already delayed.. ^^	true	negative
RT @TagesschauVor20: [28.2.96] Einstieg der Bahn beim Transrapid, der ab 2005 im 10-Minutentakt zwischen Hamburg & Berlin schweben wird. ht…	true	neutral
@DB_Bahn Tschade. Alternativzug gerade abgefahren.. Naja danke fuer die Infos. Leipzig ist auch schön.	true	neutral
Okay - Hier könnte man doch den netten Herren Mehdorn als Vermittler einsetzen, oder? vs ✈ #Bahn https://t.co/2ZRRu1xaiA	true	neutral
Ein Rassist greift einen Asylbewerber an und alle schauen weg - fast alle. Im Zug,DB gegenNazis-Fehlanzeige #sachsen https://t.co/yz0iJKkz5U	true	negative
@DB_Bahn Könntet ihr einmal die DB Sicherheit in Kassel Wilhelmshöhe zu Gleis 8 schicken? Den Rest siehe Bild. https://t.co/JbGgKD6OCo	true	neutral
RT @bretzvanhullo: Wenn die @DB_Bahn mal ein Buch schreibt, könnte die heutige Bahnfahrt von @frachtschaden ja als Grundlage dienen.	true	neutral
Sitze mit Ballon und Kraftklub Musik in der Bahn und freue mich nen Ast ab. Wäre ich alleine würde ich jetzt tanzen	true	neutral
@DB_Bahn Im Moment sollen wir gerade in Magdeburg aus einem Zug wieder aussteigen, weil eine Tür defekt ist...	true	negative
RT @stijlroyal: An alle zur morgigen Cocktailsause auf dem Ponyhof Reisenden: Heute um 19 Uhr wird der Bahn-Streik beendet.	true	positive
@DB_Bahn @ann_jacquelinex Ihr habt die Dame gehört!	true	neutral
@Fighti wie lautet den das db Logo ? die bahn! meinst das ?	true	neutral
GDL-Streik bei der Bahn - Zwei sollen schlichten - einer poltert los - Süddeutsche.de http://t.co/mzeBYl02CI #mediAtDE	true	negative
So viele verliebte Pärchen in der Bahn… Ich vergesse immer, dass im Frühling das Nest platzt	true	neutral
@RealDeuterium @SBahnBerlin Nix NIMBY :D Nee, S-Bahn ist viel zu langsam im Vergleich zur Regionalbahn. Befürworte #DBRegio auf der Strecke.	true	negative
@Marvin_Ronsdorf Weil die Marke @DB_Bahn gefälligst zu tun hat, was wir ihr vorschreiben? @MarcelLindenau @artus69 @kordhos @neuigkeitenchef	true	neutral
Hätte ich ihn in eine Transportbox gequetscht, wäre der Hund umsonst gefahren. Danke für nichts, @DB_Bahn!	true	negative
"RT @Freund_2_0: Die #Bahn ist total Kundenfreundlich, dieses Schild z.B. bedeutet: ""komm in meine Arme"" http://t.co/OB6ZMRAzjE"	true	positive
".@DB_Bahn habt ihr eigentlich auch irgendwo exakte maximale Maße für ein gefaltetes Faltrad und nicht nur ""wenn in die Gepäckablage passt?"""	true	neutral
@janmeyer bin gestern Abend auch einfach komplett mit Wunden und Narben etc. normal Bahn gefahren als wenn nix wäre, iwie richtig cool!	true	neutral
@DB_Bahn laut Auskunft vor 2 Wochen in Berlin soll der Südkreuz halten.	true	neutral
RT @RealJulex: Meine Bahn hat 45 Minuten Verspätung?! WIE KANN MAN SO VERFICKT VERBLÖDET SEIN? BAHNFAHREN IST DAS UNANSPRUCHVOLLSTE WAS ES…	true	negative
".@earlybird445 kennt schon? https://t.co/OoEMkSSDoG angebl. können dort engagierte bahn-nutzer ""einwirken"" (bezweifle) #s21"	true	neutral
RT @ausdemschrank: Sitze mit Seniorenreisegruppe in der Bahn. Ich finde es beruhigend, dass Menschen mit dem Alter wieder süß werden.	true	positive
@aleksandarplatz ich kann nur sagen, was Stand der Dinge ist. @DB_Bahn könnt ihr checken, wer das WLAN im IC Bus betreut? ^ul	true	neutral
@ThunderAndi @GameGingo Sagen wir es mal so, gegen die ist die Bahn oberpünktlich :D	true	neutral
Guten Tag @DB_Bahn Ich habe ein Ticket im 1. Klasse gekauft aber die Sitzplatzreservierung war unmöglich. Könnte ich später reservieren?	true	negative
Bahn ist voll...ick bin high...läuft✔	true	negative
@nie_ro Das ist klar, wenn man zu spät kommt. Ich bin ja sehr pünktlich von anfang an im Zug. Ich möchte es von @DB_Bahn ganz genau wissen.	true	neutral
@schieritz Ist das aus dem Bahn-Magazin?	true	neutral
Sommer in Berlin erkennt man mitnichten an leicht bekleideten Menschen, Flutschfingern oder gar Hitze. Nein. Erst wenn die Bahn nicht fährt.	true	negative
Fahrer steht vor der Bahn und schreit durch die Gegend, dass die Strecke in diesem Moment wieder freigegeben wurde.	true	neutral
"RT @Kryoriaa: und die Bahn so ""woah, long chilli cheese für 1,99!"" https://t.co/f2ftkYckFx"	true	neutral
Streik bei der Bahn beendet | rbb Rundfunk Berlin-Brandenburg http://t.co/XUKBWeWqqW	true	positive
[DB Regio] #Nürnberg - #Würzburg: #Technische #Störung an einem Güterzug / #Beeinträchtigungen +++ https://t.co/x4jEypvn3W	true	negative
Die italienische Staatsbahn FS investiert bis 2020 17 Milliarden Euro in verschiedene Bereiche - IRJ - https://t.co/6F63VcQD6x #bahn	false	neutral
[DB Regio] 1. Akt. #München Hbf - #Garmisch-#Partenkirchen: #Technische #Störung an der #Strecke / +++ https://t.co/hqirNvrEDj	true	negative
RT @KCPotsdam: #KCPFlash: Startplanung für 11. Potsdamer #Kanalsprint (03.10.) steht: http://t.co/3iEHtA6tR5 | powered by @DB_Bahn http://t…	true	neutral
Gleisbauarbeiten auf der Berliner S-Bahn hier auf dem Abschnitt zwischen d #bahnbilderde https://t.co/H4NvZpKCrO https://t.co/rmStqwWN1z	true	neutral
RT @INDIZbot: Digitaler Wagenstandsanzeiger bei der Bahn? Super Idee - so vor 10 Jahren. Sowas gehört heute per Push auf's Handy! https://t…	true	neutral
@DVBAG, wird es morgen auch noch zu Bahn- & Busausfällen wegen eines Streikes kommen?	true	neutral
Klimaanlage im Zugabteil ausgefallen, 35 #Grad . Alle Reisende in die 1. Klasse umgesetzt worden, Danke @DB_Bahn #Hitze #bahn #service	true	neutral
Hier sitzt eine (denke ich) Flüchtlingsfamilie in der Bahn...es ist einfach zu niedlich wie die Kinder sich über alles hier freuen	true	positive
ich hab&apos; gerade fast meine Bahn verpasst und hätte ich die verpasst, hätte ich auch meinen Bus nach köln verpasst tot	true	neutral
RT @oekomobil: Tagesschau Luftverkehrskonzept der #Umwelt-Verbände: #Bahn könnte jeden dritten Inlandsflug ersetzen http://t.co/HCfAs26ee…	true	neutral
TIL: Inzwischen nutzt auch eine offizielle Bahn-App das IRIS als API	true	neutral
Bahnstreik beendet: ARD und ZDF bemänteln das Einknicken der Bahn nach monatelanger Blockade https://t.co/9RTPV6QA8j	true	neutral
Automat kaputt, Monatskarte vergessen: Unsere Tipps für unfreiwillige #Schwarzfahrer http://t.co/2I9MAsHQfP #Havag #LVB #MDV #Bus # Bahn	true	neutral
@DB_Bahn IC 2253 fällt tatsächlich ab Fulda aus? Was sind die Alternativen ab Erfurt?	true	neutral
@OS1137 Das geht nicht im mobilen Bereich. Nur direkt auf bahn.de /jn	true	negative
RT @Ney_Sommerfeld: 1842 cops prügeln afas aus s bahn tunnel #hsh #b2902	true	negative
@Telekom_hilft @DB_Bahn Der Zug zeigte im Bahnhof stehend 151 km/h an. War quasi gar nicht zu spüren, die Geschwindigkeit. Bei offener Tür	true	negative
@_Boopalicious Weil die deutsche Bahn suckt und ich deswegen durch ganz Dortmund laufen müsste.	true	negative
RT @dielochis: Schon das neue Video gecheckt? ▶️ https://t.co/WKmH48XWsy Könnt uns btw am 07.11. beim Karrieretag der Deutschen Bahn treff…	true	neutral
#Aktuell Bahn und Telekom geben zu: Das W-Lan im Zug ist überlastet http://t.co/A5GhPy6qeQ	true	negative
"RT @NurEinePhrase: Es lebe die S-Bahn, oder wie die Spanier sagen: ""Viva S-Bahn, ja."""	true	neutral
@SZ Will er jetzt ne Überholspur für Bahn-Konkurrenten einführen? Gibts überhaupt Konkurrenten?	true	neutral
@MiriamGae bin dann einfach u3, S-Bahn und U2 gefahren. #ausprinzip	true	neutral
@DB_Bahn gute frage. ganz normales handyticket? nich ersichtlich ob da auch re geht oder nur rb	true	negative
"Bei ""2 x 3 macht 4, widdewiddewitt und Drei macht Neune!"" wirft's mich immer wieder aus der Bahn. Also gedanklich-logisch und so. #lt"	false	neutral
UND DIE BAHN KOMMT! https://t.co/NoTGZulDcU	true	neutral
Sicherheitsrisiken wegen Funklöchern bei der Bahn: Funklöcher auf Bahnstrecken sind ein Ri... https://t.co/Gp3oPh1Ojr via @FAZ_Wirtschaft	true	negative
Endlich tut die @DB_Bahn mal was gegen die Digitalisierung unseres Alltags. Handgeschriebne Wg-Nummern tuen es auch. https://t.co/EKvLbI2KpL	true	negative
"Ich wünsche mir ja die Bahn-Ansage ""Der Zug verspätet sich in wenigen Minuten!"""	true	neutral
RT @SQLPaparazzo: Nun ist der @KostjaKlein am Zug. Es geht ums Thema version control und db lifecycle Management #sqlpass_de http://t.co/…	false	neutral
Wir Limmattaler brauchen die Bahn!!! «Sonst erstickt das Tal im Verkehr» https://t.co/m9RzuzcfzF via derbund	false	neutral
RT @ANDREASSTAVRI: @_denk_mal_ Auf Opfer eingetreten: Polizei fahndet nach diesen S-Bahn-Schlägern. https://t.co/OhqOYNT84v … https://t.co…	true	negative
Ach ich liebe die Deutsche Bahn. Könnt ihr es mir glauben?	true	neutral
@2d54fd6c6073429 2/2 Dafür musste ich aber erstmal die schlimmste Landung meines Lebens überleben xD Wir sind auf die Bahn geFALLEN xD	false	neutral
RT @SQLPaparazzo: Nun ist der @KostjaKlein am Zug. Es geht ums Thema version control und db lifecycle Management #sqlpass_de http://t.co/…	false	neutral
"#RE3091 fährt mit 4 Min. #Verspätung von Neuhaus ab (Plan 17:06 Uhr, Ziel Hof Hbf.) #DB #Bahn - ""vorausfahrende Regionalbahn"""	true	negative
Könnte nun depressiv auf den Gleisen chillen, aber es fährt ja keine Bahn.	true	neutral
Heute morgen sammelt die Bahn Verspätung wie andere Menschen Treuepunkte.	true	negative
Deutschland fährt #Bahn für 19 Euro - Wenn sie denn mal fährt und nicht wegen Böschungsbrand bei Bochum steht. :-)	true	negative
RT @Gedankenbalsam: Wer eine elektrische Fliegenklatsche zu Hause hat, als Abstandshalter für Bus und Bahn kann ich sie wirklich sehr empfe…	true	negative
RT @Blaulicht_Nbg: # Bahn: Streckenabschnitt #Neustadt - #BadWindsheim gesperrt -Technische Störung http://t.co/FkNjA01iC3	true	negative
wieder war baustelle, wieder war teilstrecke gesperrt, wieder danach 5-10 min verspätung. bei @DB_Bahn wundert das nicht mehr. #bahn #fb	true	negative
Die Bahn kam nicht also bin ich nach Hause gerannt und habs Fahrrad genommen. Schwitze wie sonst was und hab Zahnschmerzen. Bahn fährt...	true	negative
@DB_Bahn Kann ich mir denn aussuchen, ob ich ein Hotel oder ein Taxi nehme? Ersteres wäre in diesem Fall sinnvoller.	true	neutral
Aulendorf: Ausländer würgt in Bahn Jugendlichen, sperrt ihn auf Toilette ein, schlägt seinen Freund https://t.co/c36X0c66Er … #Einzelfall	true	negative
Bald kenne ich alle Tweets von dem Bahn-Durchsage-Account #nonmention	true	neutral
RT @marktpower: Bird in a pram, Berlin S-Bahn. https://t.co/P1sF87bfnO	true	neutral
Zu früh gefreut? Streikgefahr bei #Bahn weiter akut ... http://t.co/sgLF38nMpe	true	negative
Warum nur bewegt sich in einer S-Bahn trotz geöffneter Fenster die Luft quasi gar nicht? �	true	negative
Deutsche Bahn: Im ICE der Zukunft haben die Fenster Bildschirme http://t.co/99HTYcjFl7 http://t.co/yvUYJVLhLb	true	neutral
RT @ThorstenZiegler: Im Innovationslabor der Deutschen Bahn - https://t.co/kcmCqV7sCr	true	neutral
Dank Ausfälle der Deutschen Bahn muss ich jetzt mit dem Bus von Oberhausen nach Borbeck und dann mit SEV weiter :(	true	negative
@lenas2111 komm mit der @DB_Bahn ! ! !	true	neutral
@DB_Bahn danke. Ist auf der Schnupperbahncard leider verwirrend beschrieben	true	negative
@Astronaut_Jan Rückmeldung: Für den Bhf ist nun Westfalenbahn zuständig. DB Automat wird abgebaut und ein neuer von WFB wird aufgebaut. /fi	true	neutral
@tiefpunkt Bahn-FF? Wie is der Aufbau? Also wie kommt ein Uplink in den kleinen TP-Link?	true	neutral
@DB_Bahn Ich seh eben keine einzigen weiteren Plätze online. Ihr etwa? #seltsam	true	negative
@DB_Bahn Fährt der selbe Triebzug, der ICE 18 fährt auch den ICE 19? #Bisheuteabend	true	neutral
Wie meine Bahn hat 10 Minuten Verspätung?? Na hoffentlich nicht noch mehr, sonst wirds knapp.....	true	negative
@ellitaer @DB_Bahn Auf der Rückfahrt dann IC Ersatz für den ICE. ICh glaube die Bahn in Burkina Faso ist professioneller	true	negative
Auf nach #Hamburg zur Vorstellung der privaten #Finanzplanung. Freue mich auf eine entspannte Fahrt mit der @db_bahn http://t.co/dAZGaFNNrd	true	positive
Die HOTELBIZ – SEMINARBIZ – EVENTBIZ ist die Fachmesse für Geschäftsreisen, Seminare, Incentives & Events. http://t.co/kUOYueNqa3 #apa #o…	false	neutral
RT @therealmoneyboy: ich rede nicht von der Deutschen Bahn wenn ich sage das ich 1 Zug nehme die rede ist von 1 marihuana zigarette	true	neutral
@LukasLiebtDana in Dänemark wurde die Bahn schön komplett umgestellt.... da wird alles von der zentrale aus geregelt. keine Zugführer mehr	false	neutral
S-Bahn S6 Richtung Weil der Stadt mit der nächsten Haltestelle Leonberg hat 0:06:00 Verspätung	true	negative
@DB_Bahn sagt kein Taxi, sondern Hotelzimmer in Berlin. Könnte schlimmer sein, aber trotzdem. #BuKoPartyohneKarty	true	neutral
@angi908 Warum hasst jeder die Bahn? (Frage eines Schweizers der vllt 1x im Jahr mit der DB fährt)	true	negative
Am Hauptbahnhof in #Stuttgart kommt es wegen einer Signalstörung noch immer zu Verspätungen auf allen S- Bahn-Linien. http://t.co/bDnJPdODI9	true	negative
@DB_Bahn Hallo, kann man in den Schließfächern am Stuttgarter Hbf auch Koffer lagern?	true	neutral
@GullivonReisen Sie können die Verlustmeldung auch online eingeben oder bei der DB Information am Bahnhof. /ja	true	neutral
DB Sicherheit am Bahnhof #Büchen . Sind aus dem RE in Richtung Lüneburg ausgestiegen #RE83 #db @hh_ohne_ticket	true	neutral
@DB_Bahn hab meine #bc100 auf Arbeit vergessen. Bin bis Dienstag nicht dort, muss aber bahn fahren. Was tun?	true	neutral
Ist das wahr, @DB_Bahn und @Telekom_hilft ? https://t.co/u1nuzDrPlQ	true	neutral
RT @StN_News: Mehr Geld für Bus und Bahn in #Stuttgart fordert unser Kommentator #ssb #vvs https://t.co/9FkpElXr2b	true	neutral
"RT @Kryoriaa: und die Bahn so ""woah, long chilli cheese für 1,99!"" https://t.co/f2ftkYckFx"	true	neutral
@DB_Bahn Das heißt ich kann die zusätzlichen Services für die ersten Wochen nicht benutzen?	true	neutral
@MVGticker @DB_Bahn fast 80 Minuten vom Airport bis Ismaning. In nem Tiertransport. Echt geil. Jetzt noch S-Bahn, so ein spass #NICHT	true	negative
"""Bahn will Fahrgästen, die zufällig einen Zug steuern können, Fahrtkosten erstatten"" http://t.co/kv4SRccesV #humoriges #feedly"	true	neutral
