tweet	sentiment
Premium-Strategie = exzellente Produkte + Dienst-Leistungen hoher Qualität und überdurchschnittlicher Preise: Emotionen = Kauf-Entscheidung!	positive
neu bei twitter	neutral
Boa heute ist wieder nur assis im Zug Tag. Laut und es stinkt -____-	negative
Gute nacht ! Schlaft gut ihr alle!	positive
Microsoft-Apps für Symbian angekündigt: Nokias Kooperation mit Microsoft wird demnächst Früchte tragen: So solle... ~http 	neutral
Mein Audi TT hat Fronantrieb. Jupp; glaub ich Dir sogar.	neutral
Yeaaahh geil ; kanns kaum abwarten! Wann ist der realese ???RT @user am Freitag signing für den Re Release mit Sony von Blauer Samt	positive
War gestern das erste mal in einem Fitness-Studio. Hab eigentlich einen verdammt großen muskelkater erwartet; aber heute merk ich nichts :-D	positive
warum hat man das slidepad vom nintendo 3ds nicht blau; bzw. schwarz gelassen; sondern ist in der finalen version grau?	negative
Photo: Winterstiefel ADIDAS M Attitude Aus Veloursleder mit weichem Warmfutter (100% Polyester). Ferse mit... ~http 	neutral
Die Geschichte des Like Button! #Facebook ~http 	neutral
Gelbe Markierungen auf der Domänenstraße in Konz. Da steckt sicher der LBM dahinter. Ich erahne schon die nächste Baustelle für die Konzer!	negative
Kulturrampe Metal Night mit Rising Glory; Vanguard und Sacred Gate. Noch eine Band bisher geiler Abend	positive
Unser GM Achim Berg zu Entwicklungen in der ITK-Branche; Microsoft Geschäftsstrategie&Bedeutung der #CeBIT.... ~http 	neutral
Kreuzfahrt-Alternativen zu Ägypten und Tunesien bei Costa ~http  und Oceania ~http	neutral
Diabetes - Die unterschätzte Gefahr ~http  Sehr eindringlich!	neutral
Wir brauchen nicht zu prüfen;ob die ganze Arbeit ein Plagiat ist; sagte der praesident@uni-bayreuth.de ;sehen das alle so? #Guttenberg #fail	neutral
GPL: Wie muss der Quelltext angeboten werden?: Der Streit um mögliche Verletzungen der GPL durch Android-Geräte ... ~http 	neutral
"Weisheit des Tages: ""In der Kanalisation lebst der Kanaligator."""	neutral
Kopfsport Flashback #2: Daster und Menace am rappen; der Hofnarr wie immer am Beatschrauben und der Firsty am... ~http 	neutral
fährt jetzt ins Internat	neutral
Nur noch 2 Tage und dann ist wieder allseits bekannt; in Twistringen sind sie wieder alle Voll bis Oberkante Rand :D	positive
Austausch auf höchstem Niveau:: Eventprofis treffen sich im September in Luxemburg zum „1. European Event Summit“ ~http 	neutral
Ist das Samsung Galaxy S2 irgendwo ab Lager lieferbar??	neutral
Abverkauf Kabelsortiment - #20% auf alle #Proel Kabel ~http  (by ~mh) #20% auf alle #Proel Kabel	neutral
Ferienwohnung Stanici Omis *** MODERN ART *** Ferienhaus Unterkunft Urlaub ~http  via @user	neutral
Heute #WDR 5 #Zeitzeichen: 11. April 1936 Der Tod des Soziologen Ferdinand #Tönnies wird bekannt gegeben ~http  #Soziologie	neutral
Vorhin mit 5 Leuten die Sailor moon OP gesungen~ :3	neutral
Muss mal wieder ein Buch verkaufen; bitte helft mir. ~http	neutral
Heinz-Christian Strache   Telefon   +436643033839 #fpoe	neutral
Via Facebook wieder im Google-Index. ~http 	neutral
Ich bin auch 16 km gelaufen Waren mir 3 die einzigsten ?	neutral
Android News wurde gerade veröffentlicht! ~http  ▸ Titelthemen heute: @user @user @user @user	neutral
AJa guten morgen	positive
Gibt es eine Möglichkeit bei einem Benlux Modell von Samsung 46D6500 den Digitaltext (HBBTV) frei zu schalten ?	neutral
Darauf noch ein Schluck Wasser!	neutral
Meine Brille ist kaputt. Wie das passiert ist? Mir ist eine Wii auf den Kopf gefallen. Ja; eine Nintendo Wii.	negative
Du ziehst um? Wenn du Hilfe brauchst; sag mir bitte nicht Bescheid.	neutral
Wenn einen der Schmerz von innen auffrisst...	negative
Kleines rotes Tier lutscht am Daumen.	neutral
Aktuelles Urteil: Vorsicht beim Erwerb gebrauchter #Software - Hersteller darf #Schadensersatz fordern - ~http 	neutral
Komm zum Punkt! für Geschäftsleute als kostenlose Kurzversion zum Download: ~http 	neutral
New Post:  LG Smartphone mit Dualscreen und Split-Keyboard gesichtet ~http 	neutral
ufem weg nach zöri	neutral
Glühlampe brennt seit mehr als 100 Jahren: ~http	neutral
Einstweilige Verfügung gegen „Das Amt und die Vergangenheit“ – allerdings wirksam nur für zukünftige Auflagen ~http 	neutral
#1: Sony DCR-SX15EB SD Camcorder (50-fach opt. Zoom; 6;8 cm (2;7 Zoll) Display; bildstabilisiert) schwar... ~http  #kamera	neutral
Schnäppchenjäger aufgepasst: der #Kodak Multifunktionsdrucker #ESPC310 bei Media Markt im Angebot! ~http	neutral
Beides ist nicht schön. RT @user ich weiß nicht was ich machen soll... morgen wieder schule :(	negative
Oschersleben: Abt will den Sieg: Die Abt-Piloten wollen die Stärken des Audi A4 auf der Strecke in Oschersleben aus ~http 	neutral
Katzen Abendbrot gab es auch schon und schon wird wieder rumgelümmelt	neutral
Heute ab 15.00 Uhr spielen wir wieder Fußball (vor'm Schwimmbad) mit Freunden und Freundesfreunden. Wer will kann gerne kommen.	neutral
"Wie sicher ist die deutsche ""SwissID""? ~http "	neutral
Konfliktlösung für Männer: ~http  #notch #q3a  Haben wir damals auch gemacht. Dabei ging's allerdings eher ums Abwaschen.	neutral
Unser Team wächst: Die Medienwissenschaftlerin Juliane Lungershausen ist seit Anfang 2011 Junior Beraterin. ~http 	neutral
überall werbung zu sehen auch youtube o.O ich sags euch kauft nie microsoft produkte sie ziehen nur leute ab!!!!!	negative
ok ich fatz dann mal zum flegga	neutral
"Check out: ""Die Steinsuppe - oder: aus Wenig einen Erfolg machen"" ~http "	neutral
Social Media muss professionell werden - wenn ich sowas lese; kommt mir das Frühstück wieder hoch. Wir brauchen hier keine Drücker; Leute!	negative
Erinnerung: Unsere Jubiläumsaktion mit der Ihr 5% Extrarabatt auf alles erhaltet läuft nur noch bis Ende des... ~http	neutral
ach scheiße man mein laptop ist am arsch freu mich schon auf heute nach mittag!!! Miriam &lt;3	na
Es sind wieder viele stark reduzierte #Airsoft Vorführmodelle am Lager. Lieferung nur solange der Vorrat reicht! ~http	neutral
Linkbuilding Studienarbeit + Fallstudie veröffentlicht ~http  via @user	neutral
#Smartphone Schnäppchen von Nokia; HTC; Samsung und Sony Ericsson ~http 	neutral
Kanadas Bruttoinlandsprodukt fällt im zweiten Quartal zurück #kanada ~http 	neutral
Ich habe ein YouTube-Video kommentiert. ~http 	neutral
New Post:  Sony S1 & S2 Teaser Video veröffentlicht ~http 	neutral
Heut Abend: #Tatort: Der glückliche Tod ~http	neutral
Nie mehr ohne dich-ich liebe dich :-*	positive
Dürfen die das abgebrannte Sony-Warenhaus in London zeigen? Es enthält/enthielt ja schließlich Content von Sony Music Entertainment! #London	neutral
#Demner; #Merlicek und #Bergmann gewinnen Corporate #Werbeetat Pitch von #OMV //mg	neutral
Audi wähnt sich noch nicht in Sicherheit: Martin Tomczyk ist seit Brands Hatch DTM-Spitzenreiter; doch bei Audi wei ~http 	neutral
Google kauft Patente von IBM ein ~http 	neutral
Bei Les Mads suchen sie eine neue Bloggerkollegin und Jaokob von Dandy Diary verrät; wer seine Favoritin ist.... ~http 	neutral
Pics on: ~http	neutral
Argh; all die Videospiel-News allein zu posten ist echt nervig und anstrengend! Helft mir bitte und meldet euch im Nintendo Gamer Forum!!!	negative
Gerade gehört: Ein #Atom verhält sich zu einer Orange; wie eine Orange zur Erde	neutral
Keine Lust mehr DX Ich waere fast in Braunschweig stecken geblieben &gt;&gt;	negative
Playstation Network passwort wieder gefunden =)	positive
Liebe Freunde; bitte stimmt bei der funny-frisch Chips-Wahl 2011 für mich als Chips-Tester! ~http 	neutral
Twee Free wird im Juli aus dem App Katalog entfernt. Eine Twee2 Testversion ist derzeit nicht geplant #webos #palm #pre #pixi	neutral
#DdoKwn:  Mit einem Taschenmesser; Bindfaden & Büroklammer kann man Bomben bauen; Reaktoren reparieren & Sicherheits- systeme lahm legen	neutral
Finest-Electronic-Beats Klangraum NÜRNBERG / FÜRTH 106;5 MHz - ERLANGEN 106;2 MHz KABEL DEUTSCHLAND 103;9 MHz - KABEL… ~http 	neutral
Verewige dich unter ~http  als Kapitän der Fußball Nationalmannschaft in einem von 2000 exklusiven adidas SPORT 2000 Superpostern!	neutral
Fronius und Linde zeigen gemeinsamen Brennstoffzellen-Schlepper ~http	neutral
"Ein Angestellter in einer sehr großen Firma nimmt das Telefon; wählt und sagt: ""Mein Schatz; heb deinen süßen ...~http "	neutral
Beim #10. #Cello #Festival wird es an 3 Tagen #öffentl. #Workshops geben; geleitet u.a. von  #Maria #Kliegel; #Natalia #Gutman; #Arto #Noras	neutral
"now @user am Set von ""Der Deutsche Freund""  mit Max Riemelt uvm.... ~http "	neutral
Adobe Illustrator - Grundlagen: 3D-Werkzeuge in Illustrator - PSD-Tutorials.de ~http  via @user	neutral
Tramparty Zürich ~http 	neutral
Die Online-Wunschliste nur hier mitmachen! ~http 	neutral
Ich hab kleine Füße und trotzdem große Titten.	neutral
experiment: wildleder in der waschmaschine.	neutral
Vermisse sie einfach. aber trau mich nicht es ihr mal zu sagen.	negative
Schüchternheit ist nicht gefragt ~http 	neutral
#Bad Ems hat soviel Flair wie ne Scheibe Toastbrot.	negative
Ich habe 2 Fotos im Album „~ Konzerte ~“ auf Facebook gepostet ~http 	neutral
Die nächste Party steht an und Sie wissen nicht; was Sie mitnehmen sollen? Schenken Sie doch eine Flasche Echte... ~http 	neutral
"für alle die es nicht wissen wollen: ""knurd"" heißt ""drunk"" auf rückwärts; das heißt; dass man erst mal eine Flasche Wein trinken muss; ..."	neutral
Viacom verliert vor Gericht gegen Google ~http 	neutral
hab grad dein Trailer gesehen zu deiner Sendung auf einsfestival. Huhu ich freu mich schon :D. Kommt des jeden Donnerstag?	positive
Jungs; die mit den Fan-Postern ihrer Mädels konkurrieren wollen; werden nicht umhin kommen; Robs verwegenen Style zu klauen.	neutral
Freut sich auf Ihren Sony Ebook Reader!	positive
"#Bispingen. Heute ist ""Sturzfest""!!!!!!~http "	neutral
Nach Daimler und Opel will auch Audi Brennstoffzelle ~http 	neutral
via/ @user Immobilienangebot: chice 2 Zimmer #Wohnung in #Dresden Kleinzschachwitz; absolut ruhig und elbnah; 62 m²  ~http	neutral
Philippe Courard im Gespräch: 80 Millionen Arme in der EU ~http 	neutral
"Rhein-Neckar Zeitung - Politik trifft Jugend - Dann steht ein Schüler im ""Piraten-Partei""-T-Shirt auf und fragt..- ~http "	neutral
Brainstorming (päd. auch Thesengarten genannt ;-)) zum Thema Kinder- und Jugendstufe #kjgdk	neutral
Von einem ganz ungefährlichen Pferdevirus - mz-web.de ~http	neutral
Das LLR Outfit für den heutigen Tag! #Bday #3Jahre ^JO ~http 	neutral
Gabriel will Langzeitarbeitslosen helfen. Selbstzweck oder Nächstenliebe?	neutral
BGH-Entscheidung zur Rückforderung schwiegerelterlicher Zuwendungen ~http	neutral
Schlägt am 5. November die letzte Stunde von Facebook? ~http 	neutral
So; noch ein letztes mal alleine schlafen; dann hab ich endlich @user wider *freu*	positive
Female-Resources: Das war die 43. Kalenderwoche: #Frauen - #Wirtschaft - #Politik ~http 	neutral
Ich will ein Samsung Galaxy S2 bei Androidsforum.de gewinnen! Gewinnspiel auf ~http	neutral
Herr Holm ist alt geworden.. Und immer noch nicht witzig!	negative
steinofen flammkuchen käse lauch.. beste was grade geht.. lecker lecker lecker.. (:	positive
"Bald kommt mein bestelltes Spiel an. ""Naruto S. Ultimate Ninja Sotrm 2"" Ich freu mich schon. Ich wills jetzt schon haben."	positive
Boho; Hippie und Ethno Styles - Geschichte + Styling Tipps - ~http 	neutral
Blogartikel Yasni: Medienwelt wird aufmerksam ~http 	neutral
Aufsteiger Platz #1: Nike Swoosh stirnband ~http 	neutral
So ganz unrecht hat er nicht.	neutral
der Wortkünstler  hält uns auf dem laufenden. RT @user Heute geht ramadan los !	neutral
So; für alle Interessierten; ich habe eine Mail vom Samsung Kundenservice/Support erhalten mit folgendem Inhalt (vielle ~http 	neutral
Palatschinken und Topfencreme mit Brombeer-Balsamico-Ragout ~http  @user #rezept #kochen #lecker #rezepte #dessert	neutral
“Abmahnung” per Email von APW ist ein Fake: Wer in diesen Tagen eine angebliche Abmahnung per Email von den Rech... ~http 	neutral
Glückwunsch #SPD Lehrte: katastrophale Zustände im neuen #OBI. Aber das stört dich ja schon länger nicht mehr. ~http 	negative
Nicht nur was für Highspeed-Leser; Leseratten; Weihnachtsmäuse und sonstige Boandlkramer: ~http 	neutral
! Persermix sucht neues zu Hause in Krefeld: Verschmuster Weiss-Roter Kater ca. 9 Wochen sucht... ~http  ~http	neutral
Angeschlossen und klingt einfach nur fett :) #Teufel	positive
Kantoos Economics - Yglesias sagt wie es ist: Das Problem an QE ist nicht das ; sondern das ~http 	neutral
Für all das; was ich fühle; wird es niemals die passenden Worte geben.	na
[Gerücht] Nozomi: Sony Ericssons neues Flaggschiff: Offenbar wird bald ein neues Flaggschiff von Sony Ericsson i... ~http 	neutral
Exklusive Eigentumswohnung mit Fahrstuhl Wohnung; 26123 Oldenburg-Donnerschwee Kaufpreis: 246.500 €; Baujahr: 2011… ~http	neutral
musik hören und gitarre spielen :)	positive
Gewinnspiel: Dead or Alive Dimensions sucht einen Gewinner! - Planet3DS.de - Nintendo 3DS News: ~http  via @user	neutral
Folgt ihr @user #ff	neutral
vor 12 stunden lagen wir noch zusammen am strand. ach man :/	negative
Kann man im Januar nach Bali fliegen? ~http 	neutral
Kleinanzeigen kostenlos bundesweit inserieren ~http 	neutral
So Ihr Lieben! Ich wünsche euch einen guten Rutsch ins neue Jahr! Feiert schön und macht nichts; was ich nicht auch bereuen würde ;-))	positive
Jetzt wärs noch toll; wenn mein Samsung Galaxy sII morgen oder am Samstag noch kommen würde...	neutral
Handle jetzt! Nutze diese einmalige Chance; um mit Riesenschritten voranzuschreiten. Revolutioninäres neues System ~http	neutral
Für alle Samsung Galaxy I9000 Besitzer: Ab heute könnt ihr via Kies offiziell auf 2.3.3 updaten	neutral
Spezial zur IFA: Microsoft Office Professional Plus 2010 für 59;90 Euro ~http 	neutral
habe seit heute einen mac book pro zu hause stehen :-) liebe ihn	positive
Die passende Strategie für Microsoft Office 365 ~http  via @user #Avanade	neutral
#Flamenco ist unhabhängig von Kostüm und Aussehen. HIer der ~http	neutral
Ah... Gary Oldman ist in dem Film so ein Ekel....	negative
Die 'Harry Potter'-Stars früher und heute‎ ~http 	neutral
(Deswegen ist mir mein Bio-Lehrer sehr sympathisch ;D)	positive
! Tischplatte aus Echtholz in Krefeld: Eigenbau; lackiert; geringfügige Beschädigungen an zwei... ~http  ~http 	neutral
Interessante Mitteilungen in der Sache Apple vs. Samsung in Düsseldorf: @user	neutral
Das letzte goldene Ei hatte sich bei der Samsung HMX-Q10 Schwarz versteckt.	neutral
Flucht durch das Fenster - Barmbek: Frau (26) in Stacheldraht-Gefängnis gefangen gehalten! ~http	neutral
Die Marke #Durex bekommt einen neuen Besitzer. Wer weiß; was dann wird - deshalb jetzt sofort Panikkäufe starten! ~http 	neutral
Spartakus auf RTL	neutral
#Gewinnspiel: Samsung Galaxy S II - ~http  #Schweiz	neutral
Sind Arbeitszeugnisse wertlos?      ~http                         #CallCenter #Teamleiter ~http 	neutral
Kennt Ihr unsere neuen Helden schon? Nein?! Dann schaut sie Euch mal an; denn mit ihrer Hilfe könnt Ihr ab jetzt... ~http	neutral
und @user machen sich gerade mit  nate dogg und Area Codes ready für booooooooooooooooom bap! Pb`s @user finest legt auf...	neutral
Schutz vor dubiosen Firmen- ~http 	neutral
Apple gegen Samsung - Erneut manipulierte Bilder bei Klage verwendet ~http  via @user	neutral
Kann man Domains bei #Strato mit Microsoft Office 365 (#BPOS) nutzen? Es scheint; als könnte man die NS-Records nicht ändern. :-(	negative
Preiskampf um Roaming-Tarife - Verkaufs-Charts der Smartphones: Apple iPhone 4 und Samsung Galaxy S führen. ~http	neutral
Manchen Leuten folge ich nur aus @user. Höhöhö. Total witzig und neu. Gerade frisch ausgedacht. Gab's noch nie!	positive
Causa Apple Inc. vs. HTC: Rollt jetzt der Lizenzrubel? ~http 	neutral
Apple vs. Samsung LG Düsseldorf: Verdacht auf inkorrekte Seitenverhältnisse bei Beweisfotos ~http 	neutral
ich weiß nich...die große Twitter zeit ist vorbei..bin eher am Fasebooken..	neutral
Das Niveau hat mal wieder abgesagt...ab mit dem Kopf!	negative
„Ich beschäftige mich nicht mit dem; was getan worden ist.  Mich interessiert; was getan werden muss.“   Marie Curie	neutral
"Einzelkind hört sich komisch an. ""Alleinerbe"" finde ich besser"	neutral
was @user heisst? Ganz easy: Deutschlands weltbestes Dossier; Leute!	neutral
Hi Gays; ist euch auch so schwül heute?	neutral
dann gibts da noch die menschen; die sich einfach mal gar nich mehr melden und man sich fragt; was das eigentlich soll u_u	negative
Veranstaltung: Medellin’s International Jazz Festival: Schedule ~http  #Kolumbien #Jazz #Südamerika	neutral
Ich glaube nichts; ich glaub an dich; glaubst du an mich; ich glaub ich auch.	neutral
Nintendo gewinnt Rechtsstreit mit BigBen um Wii-Remote: BigBen; auf jeder Konsole bekannt für ihre günstigeren A... ~http	neutral
Comment on NRW: Erdbeben der Stärke 4;4 by Florian: In Marl war es auch deutlich zu spüren!     ~http 	neutral
eBooks mobil kaufen & lesen: Ab sofort gibt's die Libri.de eBookS App für Samsung Smartphones und Samsung Tablets ~http 	neutral
Das sagt der #Focus zum #Schimanski #Tatort ~http 	neutral
Wird beim Islam-Studiengang an der Uni Tübingen dann türkisch gesprochen?	neutral
Markteinführung: Samsung Galaxy Note kommt im Oktober 2011 ~http  #Samsung #GalaxyNote #Smartphone	neutral
Ehrlich ey. schon wieder keinen Bock mehr. &gt;_&gt; Wie kann man so verblendet sein?	negative
Anastasia? Aguilera? Kann mich bei Naja Maja! nicht entscheiden #esc	neutral
Läd sich gerade die 10 NES Spiele des Nintendo Ambassador Programmes herunter.	neutral
Saxophon - ~http  Informationen und wissenswertes Ã¼ber das #Saxophon (by ~Danyel)	neutral
Bin auf der Suche nach dem günstigsten Preis für den Samsung 40LE-B650. Bin bei 769€ Bei unter 750€ schlag ich zu!	neutral
Hatte einen wunderbaren Abend.. :)	positive
"Read my response to ""Wähle: Karneval in Venedig oder Polarforschungsschifffahrt?"": ~http "	neutral
Morgen nach der Arbeit zu Dodo (:	positive
Trotz Apple-Klage: Samsung Galaxy Tab 10.1 bei Vodafone erhältlich ~http  via @user	neutral
Joschka Langenbrinck #SPD ~http  #Statement #Berlin #Mobbing	neutral
Weil´s Spaß macht! #ff @user @user @user @user @user @user	positive
Zurück in Düsseldorf - war klar dass das Wetter schlecht ist...	negative
Der morgen ist da und was ist? Einer der Akkus geht wieder! :-)	positive
Jetzt nur noch Einleitung und Schluss schreiben	neutral
Mhhh; wüüünderschööönes Wochenende!!! ♥	positive
Gleich gehts nach Hannover zum Einkaufsbummel. Freu mich schon; war schon ewig nicht mehr in Hannover :)	positive
MARANXA-deutsch /////////////////////////////////////////// Es gibt mehr... Posted: 29 Aug 2011 11:46 PM PDT http:.. ~http 	neutral
allen einen wunderschönen guten morgen. geniest den tag und Gönnt euch selber oder euren Liebsten was. ~http 	positive
Kann mir jemand sagen wo ich ein Samsung Galaxy S2 am schnellsten herbekomme? Evtl. Auch aus dem Ausland?	neutral
Neuer #Münster #Tatort: Boerne und Thiel drehen am Kanal und an der Uniklink ~http 	neutral
Mein neuestes Hobby: Im Frankentipps-Ticketsystem die ausgefallensten Saalpläne als Szenarientest anlegen;-) Macht Spaß!	positive
Firefox 7 Beta 2 veröffentlicht: Nach etwas mehr als einer Woche gibt es nun die Beta 2 von Firefox 7 zum Downlo... ~http 	neutral
Fuzzy-Logik: Verallgemeinerung der griechischen ODER-Logik; unscharfe Mengen-Zugehörigkeiten (unscharfe Mengenlehre): Systemische UND-Logik!	neutral
#Jobs KFZ- Mechaniker (m/w): Mit durchschnittlich rund 63.000 Mitarbeitern und 500 Niederlassungen in rund 300 S... ~http 	neutral
Meine Woche auf Twitter: 1 Retweets erhalten; 1 Erwähnungen. Via: ~http 	neutral
neidhardt frühstücken gehen...  wird lustig wenn julian ma aufsteht!!	na
Ich habe ein YouTube-Video zu meinen Favoriten hinzugefügt. -- Rube Goldberg Machine i... ~http 	neutral
#Sprache #lernen Weitere Infos zu ** Polnisch ** Vokabeltrainer für #Gastro & #Tourismus finden Sie hier &gt;&gt; ~http 	neutral
Was für eine Aussicht! ~http 	positive
Guten Morgen liebe Sorgen; seid ihr auch schon alle da. Habt ihr auch so gut geschlafen? ~http 	neutral
yeeeah hab mir cooking mama gekauft :D	positive
Sicherheitsdialoge werden in Windows 8 reduziert: Wie Microsoft in einem älteren Blogbeitrag zu Windows 8 erwähn... ~http 	neutral
freut sich über seinen neuen sony vaio	positive
Es gibt ja verschiedene Bänke ... oder Banke ... Banks	neutral
gefällt Seit Vorgestern von Feinkost bei Ping ~http  #iTunes	neutral
Ich stolperte über die Verwechslung von BuKo (Bundeskongress) mit BuKo (Frischkäse).  Imo is Frischkäse aber auch unwichtig! #BuKo #Julis	neutral
Tagesstatistik: 302 neue Beiträge; 16 neue Themen; 3 neue Galeriebilder! Verpasst? ~http 	neutral
Lichtgestalter Aachen: ~http	neutral
Jetzt kostenlos Soldat werden auf @user ~http	neutral
Bin wieder zu Hause und versuche; mich an mein neues Handy zu gewöhnen. Kennt sich jemand mit Samsung aus?	neutral
"Die Ausstellung ""Die Dracula-Legenden"" wird am 18.06. in Mirow im Unteren schloss eröffnet (Öffnungszeit: 10-18 Uhr). ~http "	neutral
#WHS News: Phone Connector für WHS 2011 veröffentlicht: Microsoft hat gestern den “Windows ... ~http  @user #NAS	neutral
11 Stunden geschlafen... oO wow!	neutral
Marktmusikkapelle Schwanberg online. ~http 	neutral
"Übermorgen kann ich schon sagen: ""morgen gehts endlich nach hause zur tollsten frau der welt!"" *träum*"	positive
Turnschuhe für die Dritte Welt. Adidas kooperiert mit Nobelpreisträger Muhammad Yunus. Quelle: TextilWirtschaft	neutral
alle 24 minuten ging 2008 an den aktienmärkten rechnerisch eine Milliarde Dollar verloren.	neutral
Als weiteren Angriff gegen Nordkoreas Militärs hat #Apple #Lion das Launchpad eingebaut. Sozusagen dumbfire action...	neutral
Auf geht's Werder kämpfen und siegen!	positive
Ich möchte einen Lexmark All-In-One-Drucker bei @user gewinnen: ~http  #TechDepot	neutral
Trainingslehrgang  in Freital bei Dresden mit  JKA Karate Instructor Julian Chees (5.Dan) mehrfacher Kata Weltmeister & Deutscher Meister	neutral
Haha das ist wirklich nur noch Kindergarten! Wie lächerlich! xD Dumme; unreife Kinder.	negative
Erneut abgetrennter Fuß in Kanada angeschwemmt #kanada ~http 	neutral
Na bumm - Hitler nicht mehr Ehrenbürger in Amstetten: ~http 	neutral
Kostenloses Jomsocial 2.2.x Sprachpaket aktualisiert auf Knuddelesel.de ~http 	neutral
Kostenlose VHD-Images für Microsoft Virtual PC: Benutzer von Windows 7 bekommen mit Microsoft Virtual PC die Mög... ~http 	neutral
#Holzwickede SG Holzwickede: Sommerfest bietet Spiel und Spaß ohne Grenzen: Nur noch zweimal schlafen und der Sp... ~http 	positive
wie wird nun eigentlich das iPhine 5 aussehen ohne #SteveJobs????	neutral
TV-Show in Frankreich stellt Milgram Experiment nach. ~http	neutral
Mein Fresse blutet ohne dass ich eins aufs Maul bekommen hab .. Das soll mir mal einer nachmachen	negative
Der Sieger unseres Deployment Hero Contest; den wir zusammen mit Microsoft durchgeführt haben; steht fest! ~http 	neutral
Nokia und Microsoft attackieren die Alleinherrschaft von RIM via It-business ~http 	neutral
Der goldene Spatz ~http	neutral
Eine gute Nachricht gibt es noch: Mein Schnupfen ist verflogen! *__*	positive
Fotos Bilder sofort für Ihre Werbung PR Publikation die besten hier ~http 	neutral
Katja Kullmann als Identity Theft Opfer bei Facebook: ~http	neutral
Neue Produkte von Samsung im Kommen! Teil 1 ~http 	neutral
;) ~http  Wahrscheinlich einer der bekanntesten Freizeitschuhe Produzent Gucci gucci	neutral
Unterricht ohne Lehrer ist toll. &lt;3	positive
Wichtige Hinweise zum Thema Personalienfeststellung: ~http  ~http  #s21	neutral
Lieber frohe Ostern als ein mieser Western!	neutral
Wahlergebnispräsentation Kreis #Kleve; #Wesel; usw. -&gt; ~http  ; wird idR. laufend während der Auszählung aktualisiert!	neutral
Wie ich einfach schon wieder kotzen könnte. Und heulen. Am Besten abwechselnd. Scheiße.	negative
ich brauch ganz viel motivation um jetz nicht todesmüde ins bett zu fallen!!!!  FREIWILLIGE VOR !!!!!	neutral
Coach statt Couch ~http  #Mobbing #Mobbingberatung #Kassel	neutral
"Freihaltebedürftig? RT @user Netzwelt-Ticker: Microsoft will Apples ""Appstore""-Marke löschen ... ~http "	neutral
jetzt schnell Musik hören bovor ich richtig schlechte laune bekomme!	negative
Oh noez! Microsoft kauft Skype. Übermorgen geht die Welt unter.	negative
Kanada: Doppeltitel für Thiem bei der US-Open-Generalprobe #kanada ~http	neutral
Ich empfehle: Erklärung meines Telefonverhaltens ~http 	neutral
Wie Sie ohne Investitionen einen Kapital von € 32;500; - erhalten können; finden Sie auf ~http  *** Bitte notieren Sie BIG_7843	neutral
Sport: Real Mallorca fliegt zu einem Freundschaftsspiel am 27. Mai nach Kolumbien ~http 	neutral
Neue Panne: Sony legt Kundendatensätze selbst offen - Golem.de ~http  #endless #story #sony #fail	neutral
Gibt's da nichts von Ratiopharm? #Frauentausch	neutral
Ich habe den Kanal von HDHomerJ auf YouTube abonniert (~http ).	neutral
