ID,Stance
@igorpianist @nminkmar Hat Jochen Bittner Häme gegenüber Gauland schon als faschistoid und demokratiefeindlich bezeichnet oder darf man noch schadenfroh wegen des MPU sein?#gauland #afd #bittner #zeit #idiotentest https://t.co/OEfbvfPprD,negative
,positive
,positive
"Liebe @MDRAktuell-Kollegen, ihr seid doch Journalisten. Da kommt es komisch, wenn ihr erklärt, der Dr. Gauland meinte es nicht böse, mimimi. Entweder ist der #AfD-Chef debil oder ein Nazi-Verharmloser. Voll einfach, eigentlich. Das dürft ihr ruhig sagen. Auch in Ostdeutschland. https://t.co/GSpzfsNXmQ",negative
,positive
"Ich mag das @YouTube-Video: https://t.co/9uFCT7K46f AfD Pressekonferenz mit Dr. Gauland, Dr. Baumann, Von Storch, Dr. Curio und J.",positive
@suse1603 Wir werden #Gauland besiedeln!Wir brauchen Platz für Kinder!#Pegida und #AfD haben keinen Platz im Land der Wikingör!Wir sind Demokraten!Heil Ödin!#DieWikingör,negative
AfD-Chef Gauland bedauert Wirkung seiner „Vogelschiss“-Äußerung https://t.co/MbtTtpMs1d,neither
"Wenn #AfD und #CSU, #Seehofer,#Söder, #Gauland und Co kapiert haben, dass es überhaupt keine #Flüchtling|s-#Krise mehr gibt: Wer wird dann von ihnen für alles verantwortlich gemacht? https://t.co/G3d7nqolS7",negative
Gauland: Die MIGRATION (nicht die Flüchtlingskrise!) ist SCHICKSALSENTSCHEIDEND. Der BEVÖLKERUNGSAUSTAUSCH in Grundschulen ist in diesen Ausmass UNUMKEHRBAR ! Wir müssen ihn UM JEDEN PREIS VERHINDERN ! Aufklärungskampagne Dt. Minderheitswerdung auf https://t.co/hOZBre8OFG https://t.co/v4QcwpL5Ip,positive
Die geistige Dünnschiss-Elite des Merkel-Fernsehens:“Ich habe an Herrn Gauland zur Zeit keine Fragen”: AfD-Fraktionschef nach “Vogelschiss”-Zitat auch bei Anne Will unerwünscht https://t.co/clQ64XebqQ via @meedia,negative
"Zitat Gauland: ""leider ist Seehofer wieder eingeknickt!"" Das sagt doch alles, wenn die AfD sich die Maßnahmen der CSU wünscht! Die größte Gefahr für die Menschen in Europa bleibt der Nationalismus. #Solidarität #DieLinke #Humanismus #Asylstreit",negative
"Im Trubel um #Gauland ging außerdem unter, dass die Jugendorganisation der #AfD auf ihrem Bundeskongress am Wochenende munter „Deutschland, Deutschland über alles“ gröhlte.Wen wollen die noch mit „rechtskonservativ“ und „bürgerlich“ verarschen...? 🙄https://t.co/e5gheYndYE",negative
#AfD-Chef #Gauland eröffnet den #AfDBpt und vergleicht die Partei gleich mal mit der DDR-Oppositionsbewegung. #aux3006 #noafdaux https://t.co/VCiVGRYd2a,negative
,positive
"Gauland, die obercoolste Socke in der Afd!!!!!           Alexander Gauland:  Danke Herr Kauder,  beleidigen Sie uns weiter, bringt un... https://t.co/54tap1fxDy via @YouTube",positive
"Dr. #Gauland (AfD-MdB) ""#Seehofer würde nie den Konflikt mit der #Kanzlerin suchen, säßen wir ihm nicht im Nacken. Meine Ankündigung am Wahlabend, dass wir sie jagen werden, zeigt schon jetzt große Wirkung."" #ltwby #ltwby18",positive
"Der Nazi Alexander #Gauland von der rechtsextremen AfD vergleicht Bundeskanzlerin Merkel mit Hitler (ohne es auszusprechen) und will ""das ganze System"" abschaffen.Hallo? Verfassungsschutz? Jemand zu Hause?#noAfD #AfDBpt #keineAlternative #nonazis #nsAfDhttps://t.co/dl8tSOfiEZ",negative
@Hanstibamsti @schussel40 @AfD @Joerg_Meuthen @AnneWillTalk @annewill @hartaberfair @maischberger Dr. Gauland und Dr. Weidel sind also auch linksversifft nehme ich an?,neither
Antonio Rüdiger singt die Nationalhymne mit. Alexander Gauland bekommt Schnappatmung. #GERSWE,negative
,positive
Musste mal gesagt werden: Ein Statement zur #AfD im Allgemeinen und #Gauland im Besonderen: https://t.co/V2o0WpEZlv,neither
@diktator Gauland oder Bernd - Wer ist der wahre Pin-up boy der AfD? Vielleicht als Compact-Sonderausgabe?,negative
,neither
"@_MarcusArndt_ @dr_ecksack_ @AfD Deutschland, Deutschland, über alles! Mensch Gauland, gehe endlich nach Hause, Du nervst. Das sagt dir ein 86 jähriger, der als Pimpf und noch 6 Monate als Hitlerjungedie ganze braune Scheiße erleben musste!",negative
"Eine Ehre, neben @BjoernHoecke, @Joerg_Meuthen, @AndreasKalbitz, @PoggenburgAndre, Dr. Gauland und weiteren Patrioten beim #Flügeltreffen auf der Bühne zu sprechen. Die hier gegebenen Impulse sind richtungsweisend für unseren Kampf für eine gute Zukunft. #Burgscheidungen #AfD https://t.co/RiEumtiszk",positive
"Spitzen-Rede von Dr. #Gauland sorgte für gelungenen #AfDBpt18-Auftakt. Positive Atmosphäre! Danke an dieser Stelle ausdrücklich an die Polizeibeamten, die den #AfDBpt schützen. Aggressive ""#noafdaux""-Linke toben vor Frust. #AfDwirkt #Augsburg #AfD #aux3006 https://t.co/qBixB8GYLG",positive
"Sputnik #EXKLUSIV: „Was würden Sie an #Seehofer's Stelle tun, Herr #Gauland?“: https://t.co/j0WlIBz4dX via @de_sputnik #Deutschland #Asylpolitik",neither
"@sternde Das ist schlicht und einfach braune Rhetorik.Gauland hat recht, wenn er sagt, dass es ohne AFD,  das Flüchtlingsthema nicht auf der Agenda der CSU stehen würde.",positive
Wiedermal hervorragende Rede von Dr. Gauland im Bundestag! https://t.co/SO4rQLGvyh,positive
@StBrandner #bundespolizei Klamotten weg! Verbleib unklar. Erst mal Asylantrag stellen. #AFD #Gauland selbstinzenierung. https://t.co/HCyd6kulYC,negative
"@Shadow58171802 @SteinbachErika Ob man Crazy Horst oder den Gauleiter - äh Gauland - einlädt mach inhaltlich keinen Unterschied. Aber warum sollte man den AfD Faschisten noch mehr Bühne bieten, als es die CSU schon tut?",negative
,positive
,positive
,positive
"Retweeted AfD Kompakt (@AfDKompakt):Bundestagsfraktion | Dr. #Gauland: Wenn der Bundesregierung das Ergebnis nicht passt, muss sie endlich damit beginnen, die nationalen Interessen Deutschlands genauso... https://t.co/dNlu02Usys",positive
@RLP_AfD @AfD Tolle Rede von Hr. Gauland. Nur so hat Deutschland noch eine Zukunft. !,positive
Eröffnungsrede von Alexander Gauland AfD beim 9. Bundesparteitag der AfD... https://t.co/2CeZxJhNtn via @YouTube,neither
,positive
Alexander Gauland badet im Heiligen See: https://t.co/LvMlNqTjAk#gauland #vogelschiss,neither
"Gauland: Wir treiben Seehofer erfolgreich vor uns her AfD-Fraktion im Deutschen Bundestag: Berlin (ots) – Zur Debatte um Seehofers ""Masterplan Migration"" erklärt der ... - https://t.co/S1HmGnMb74 https://t.co/KV1IJYNPKV",positive
"Selbstverständlich habe ich Dr. #Gauland verteidigt. Die Attacke der Medien, um von den wirklich großen Themen unserer Zeit, wie der Finanzkrise und den Folgen der Masseneinwanderung abzulenken, war auch wirklich zu durchsichtig. #AfDhttps://t.co/SMILzIV4TI",positive
,positive
,positive
"#AfD empfiehlt „höhere Grenzwerte bei Feinstaub“, das wäre langfristig ökonomischer als Gaskammern, sagt Gauleiter #Gauland!",negative
"Reden von Prof. @Joerg_Meuthen, Dr. #Gauland, @AndreasKalbitz, @PoggenburgAndre+@BjoernHoecke+ein Grußwort unseres #AfD-#NRW-Landessprechers @thomasroecke beim #Flügeltreffen auf Schloss #Burgscheidungen.👍 #Kyffhäuser #Kyffhäusertreffen #Röckemann #AfD #AfDwirkt #Politikwechsel https://t.co/VSuDRbx3KN",positive
Werter @sebastiankurz retten Sie ihr Vorbild. Die Nazischlampe @Alice_Weidel gibt Ihnen die Anleitung. https://t.co/VnDW3gLt2j,negative
"@Alice_Weidel Detlef hat recht, Stehe 100% zu der Aussage! Und natürlich zu Ihrer Frau Dr. Weidel!",positive
,negative
"@Alice_Weidel @cducsubt @spdbt Wo bleibt Ihr Ehrgeiz, liebe Frau Dr. Weidel? Noch kein Tweed zum Vorfall beim Sommerfest im Landtag von Sachsen-Anhalt? Sonst sind Sie doch nicht so zimperlich und warten das Ermittlungsergebnis ab.",negative
"@Alice_Weidel Die Einwanderungspolitik, liebe Frau Dr. Weidel, ist schon in Ordnung. Aber Gesetze sind auslegbar. Und über verschiedene Auslegungen streiten nun Merkel und Seehofer. Wer europäisch denkt, kann nicht zu Lasten der Nachbarstaaten an der Grenze zurückweisen.",neither
https://t.co/WjqQd8Dxbf Alice Weidel: FDP-Forderung nach neuem Brexit-Votum zeugt von undemokratischem Nomenklatura-Denken #TrauDichDeutschland #AfD https://t.co/1d8XY7p69F,positive
,negative
"@alterweddinger @JohannesGiar @Alice_Weidel Goldman Sachs übrigens auch... Ein Arbeitgeber von Frau Dr Weidel zB.😎Was hilft auch das Gejammer über die Vergangenheit, wir brauchen Vorschläge für die Zukunft, nicht nur heisse Luft.",negative
"@Schroeder_Live Vielleicht liegt es daran, dass Frau #AliceWeidel gar nicht klatschen kann, denn sie muss mit dem linken Arm ja immer versuchen den rechten unten zu halten- sonst würde man ihr doch noch auf die Schliche kommen!",negative
"@AfD Lüge! Das hat er nicht gesagt, liebe Frau Dr. Weidel.",negative
@Alice_Weidel Tja liebe Alice..... So bringen wir Merkel nicht aus dem Sessel! Was soll bloß noch werden! 🤔🤔,negative
#Afd #LegaNord #LePen #CSU #FPÖ #Kurz #Orban #Salvini #Kachinski #PIS #Gauland #Weidel #Seehofer #EU und co. wirken. R.I.P 😢leider hat sich die #Menschlichkeit aus Europa verabschiedet. In den Geschichtsbüchern werden ihre Namen stehen für diese #Schande der Menschheit https://t.co/ehBLhyqKnD,negative
"@Alice_Weidel Ich glaube, liebe Frau Dr. Weidel, dass Sie intelligent genug sind, um zu wissen, dass sich die allgemeine Empörung auf die geschmacklose Freude Herrn Seehofers über die Rückführung von 69 Personen an seinem 69. Geburtstag bezog, und dass nur ganz wenige ihre Empörung über",negative
https://t.co/Zt3dnpYP1W@BjoernHoecke @Beatrix_vStorch @Alice_Weidel Ich war auch da,neither
"@bundesm59769862 @SteinbachErika @AfD_HD Ach so und ihre Inhalte und deren Inhalte von Fr.Weidel sind nicht identisch,ich verstehe,deswegen ist das bedenklich.Auch bei einer Talkshow sollten alle Gäste die gleichen Inhalte vertreten,das macht es spannend.Deswegen wurde die AFD dort auch nicht eingeladen.",negative
@comfortity @Alice_Weidel Frau DR. Weidel wollt ihr W..... das Wasser reichen ? Arme Irre,negative
"@Alice_Weidel Liebe Frau Dr. Alice Weidel, da stimme ich voll zu, was sie zu ntv Journalisten gesagt haben In meinen Freundes und Familienkreis, kenne ich keinen der hinter das Merkelpack steht Machen sie bitte weiter so und ich kämpfe für die AFD das Deutschland Frei und Deutsch bleibt danke",positive
"Ein entlarvendes Interview mit Alice Weidel!Die AfD hat keine Lösungskonzepte für die politischen Fragen unserer Zeit. Sie speist sich aus Hass, Fremdenfeindlichkeit und Verachtung für die liberalen Rechte, die wir uns alle hart erkämpft haben! https://t.co/ERwwkW8Uzz",negative
"Dr. Alice Weidel (AfD-MdB) ""Deutschland ist ein Narrenhaus und im Kanzleramt ist die Zentrale""... mehr Video-&gt; https://t.co/wtJ5MAwlBC",positive
@Alice_Weidel Mit Verlaub Frau Dr. Weidel - Sie haben gewiss nicht alle Latten am Zaun.,negative
"@Alice_Weidel Ich wünsche ich mir, liebe Frau Dr. Weidel, Frau Merkel sagt nichts. Ich hoffe, die Eltern finden Trost in Gesprächen mit Freunden. Mitgefühl von Politikern brauchen sie sicher jetzt nicht, schon lange nicht von solchen, die den Tod ihrer Tochter instrumentalisieren.",positive
"@Alice_Weidel Verdacht, liebe Frau Dr. Weidel, reicht nicht. Fangen Sie mal an, Beweise zu sammeln. Sie werden auch verdächtigt, die allseits bekannte Mail geschrieben zu haben, und können den Verdacht der Lüge nicht entkräften. Und gegen Sie spricht mehr als gegen Herrn Pistorius.",negative
@Alice_Weidel @FiennesParis Sie antworten Usern mit 1 Follower. Mit nicht? @Alice_Weidel,negative
@tagesschau Noch 2 Tweets von Trump in diese Richtung und er bekommt von Weidel und Gauland höchstpersönlich die Ehrenmitgliedschaft in der #AfD verliehen.,negative
"@LolaScur1804 Erste Reaktion der #AfD war nicht Mitleid auszusprechen, sondern gleich direkt Hetze. #Weidel's heuchlerisches Video, gefolgt von der Show im Bundestag - das war pure Provokation &amp; das wollten die auch. Die Tagesordnung sah etwas anderes vor. Die #AfD entschied dann OHNE 1/2",negative
"@Alice_Weidel Wie möchten Sie das nun hindern, liebe Frau Dr. Weidel? Wie Ihnen bekannt sein dürfte, konkretisiert sich die Gefahr durch Target 2 erst im Falle des Zusammenbruchs der Währungsunion. Also muss für den Erhalt gekämpft werden. Oder sind Sie wirklich der Ansicht, dass im Falle",negative
"SCHWARWEL, Cartoonist, Frau Dr. Alice Weidel - AfD - meinte wohl den Meer-Weg. Schon die Käfige wären zuviel der Gedankenanstrengung für sie. Einfach wegschmeißen und niemals jemanden retten, ist ihr persönliches Programm.© https://t.co/1RatN50GMJ© https://t.co/WDHDyPGGLT https://t.co/m1EQI5MVpK",negative
"Szene aus ""Alexander Gauland und Alice Weidel - Ein Leben für Deutschland"". (UFA, 2114) https://t.co/hETjIPFTS2",neither
,positive
"Der Nazi Schlampe Weidel ist Susanna und Ihre Eltern völlig egal, die Hauptsache ist das die dieses wieder voll auschlachten kann zum Instrumentallisieren. Für Weidel und AfD sind Opfer nebensache, Sie kann damit wieder Ihre Partei füttern. https://t.co/0eaYixVD9f",negative
@Steinhoefel Mit Herrn Prof. Dr. @Joerg_Meuthen oder Frau Dr. @Alice_Weidel wären schon einmal zwei sehr kompetente und gute Kandidaten als Bundeskanzler genannt.,positive
"@Alice_Weidel Frau Dr. Alice Weidel, Sie sind sehr kompetent. Bitte machen Sie weiter so 👍🏻",positive
"++++EILT++++++#AfD Fans aufgepasst!!! Hier kommt ein Auftritt von #Weidel, den ihr nicht verpassen dürft! Klare Aussagen zur Position inklusive! Also... eigentlich nicht...sie wird nur komplett bloßgestellt#noafd https://t.co/Y00KCOMUbG",negative
"Ich habe ein Video zu einer @YouTube-Playlist hinzugefügt: https://t.co/t250MFwamO 07.06.2018 Dr. Alice Weidel AfD ""ICH KLAGE AN""",positive
,negative
Das Ergebniss von Hetze ist Hass!Die Gesellschaft beginnt zu Hassen dank: #Meuthen #Gauland #Höcke #Weidel@AfD @AfD_Hamburg @PoggenburgAndre @AfD_HD @AfD_SOK @afdkinzigtal https://t.co/1mvJltlzYv,negative
"MMNews: Weidel offen für Koalition mit CSU in Bayern: AfD-Fraktionschefin Alice Weidel hat die Möglichkeit einer Zusammenarbeit der AfD mit der CSU nach der Landtagswahl in Bayern aufgezeigt. ""Wenn ein Koalitionsvertrag unsere Inhalte abbildet, halte ich… https://t.co/p8sKmuXfkC",positive
@Alice_Weidel R.I.P. für alle Opfer dieser verachtenswerten BundesreGIERung...Bravo Frau Dr. Alice Weidel..bitte machen Sie und Ihre Kollegen weiter @Alice _Weidel,positive
"@Alice_Weidel Alice , wofür bekommst Du so viel Kohle . ??? FÜR SOLCHEN schwachsinn https://t.co/XAHQPeQIFF",negative
"Interview mit Dr. Alice Weidel guter #Journalismus, wenn ihr also mal eine halbe Stunde Zeit habt. Sendung vom 13.06.2018 https://t.co/xbEYxC4XPl via @wdr",positive
"@Omikronbet @EliDerWanderer zB Fr. Dr. Weidel, wenn sie AfD zur einzigen Schutzmacht für jüdisches Leben in D macht.",neither
"@MalteKaufmann @Alice_Weidel Na Frau Dr. Weidel, keinen Grund zur Freude gehabt? Toni Kroos dagegen sehr.... https://t.co/DMzLhemEmK",negative
Der Kommunist möchte @Alice_Weidel Doktorarbeit prüfen?😂😂😂😂😂😂😂😂Woran erkennt man asoziale Hetzer? https://t.co/d76s8yLSSJ,negative
"@_PowerOn @Alice_Weidel Leider hört man von Frau Dr. Weidel viel zu wenig. Das Wenige, das man in den deutschen Lügen- und Gesinnungsmedien hört, ist stimmig und absolut korrekt.",positive
"@Alice_Weidel Liebe Frau Dr. Weidel, Sie sagen, Seehofers Masterplan entspricht den von der AfD schon vorher gestellten Anträgen. Jetzt wollen Sie ihn nur mittragen, wenn ein allgemeiner Politikwechsel erfolgt. Und wenn das nicht der Fall ist, wollen Sie dann weiter morden lassen?",negative
"@Alice_Weidel @AfD Liebe Frau Weidel, bitte achten Sie darauf, dass 2019 die Frage des Daueraufenthaltes von Subsidiären auf die Themenliste kommt. Sonst droht ab 2020 eine Flut von Daueraufenthaltsgenehmigungen. Gott bewahre uns davor.",neither
"@Alice_Weidel Frau Dr. #Weidel, bisher hatte ich von Ihnen als Wirtschaftsexpertin aufgenommen, daß der Euro d. Bundesrepublik in den wirtschaftlichen Untergang reißt. Wie ordnen Sie die 2,9 Mrd. Euro ein, die das Land an Zinserträgen aus d. Stützung Griechenlands realisiert hat?",neither
"Oh, Frau #Weidel ist endlich mal ehrlich zu uns  😊#AfD https://t.co/f7ygGRZivd",negative
@Alice_Weidel @AfD_Bayern Hallo Frau Dr. Weidel können Sie einem möglichen Wähler erklären warum Sie die Penderpauschale abschaffen wollen? Wenn man in der Nähe von München wohnt aber in M arbeitet. Nach M ziehen ist keine Alternative da die Mieten dort für viele unbezahlbar sind. Danke für Ihre Antwort.,neither
"@WernerAltnickel Die Frau Dr. Alice Weidel drückt es ja gekonnt aus, doch jetzt müssen Taten folgen !!! 😉🌈Dazu ist das gesamte Konstrukt ""BRD-GmbH"" komplett auf-zu-lösen!!! https://t.co/DdpJAfbqMy",positive
@APVogt @JedemEquality @RoxnRoi @Alice_Weidel Scheinbar mehr als AfD Lemminge! Möchte Frau Weidel die Ehe für alle wieder abschaffen oder nicht!,negative
"@Peter_Ple @SFittkau @Alice_Weidel Gerne höre ich die Wahrheit, aber die liebe Frau Dr. Weidel sagt halt nur die halbe. Sonst würde sie Ihnen auch erzählen, dass für eine Änderung Todesstrafe und Folter wieder eingeführt werden müssten. Das würde dann aber für ALLE gelten, auch für Sie.",negative
#AfD @Alice_Weidel :Angie soll wegen des Interviews bei #Annewill sofort zurücktreten. Wie bei anderen Interviews zB i d FAS. Übrigens gibt es immer noch keine eidestattliche Erklärung für Lilles reichsbürgerliche Schweine-System- e-mail. mit link auf terrakurier.Wer muss gehen? https://t.co/xS5QO0mY13,negative
"@KapikHusky @WELTnews Eine Dr. Alice Weidel? Eine bekennende lesbische Frau, die mit einer farbigen Migrantin in einer Lebensgemeinschaft lebt, als Nazi bezeichnen, ist schon sehr frech.",negative
"@Alice_Weidel @AfD Frau Weidel dieser Kampf muß gekämpft werden, Bargeldverlust heißt Entmündigung🆘🆘",positive
Dr. Alice Weidel und Dr. Alexander Gauland (AfD) zu Seehofers Masterplan... https://t.co/0WKUBsVIn8 via @YouTube,neither
"@Alice_Weidel Ganz toll, Frau Dr. Weidel. Die ganze Wahrheit und das ganze Versagen auf den Punkt gebracht Danke.",positive
"@Alice_Weidel Boar Frau Weidel, wenn Sie eines Tages aus Ihrem Hass- und Hetzalptraum aufwachen, werden Sie und alle Ihre Nachfahren im Erdboden versinken. Versuchen Sie sich doch mal dem einen oder anderen normal gebildeten Menschen zu begegnen und Informationen aufzunehmen.#keinermusshassen",negative
,positive
"@ute123456 Sehr geehrte Frau Dr Weidel: Es wurde eine ""Armee"" von bezahlten Stricherjungen und - mädchen auf die AfD gehetzt.Verlieren Sie bitte nicht Mut und Kraft. Wir müssen es stemmen-für unser Volk, für unsere Kinder....Danke Ihnen und der AfD-",positive
,negative
Frau @Alice_Weidel wie reden Sie über Ihren zukünftigen Bundesvorsitzenden #HorstSeehofer !?!! 😹🙈😹🙈 #noAfD https://t.co/O61JrD1eIg,negative
@brocksrocks Könnte man 1zu1 auch auf Opa #Gauland Münzen.@AFD @Alice_Weidel@Beatrix_vStorch#tichy,negative
,negative
Ich habe ein Video zu einer @YouTube-Playlist hinzugefügt: https://t.co/xvRiTSoqsT Dr. Alice Weidel (AfD) macht die Regierung fertig,positive
