sentiment	numberagreed	tweetid	tweet
positive	3	9132	AJa guten morgen
neutral	3	7493	Gibt es eine Möglichkeit bei einem Benlux Modell von Samsung 46D6500 den Digitaltext (HBBTV) frei zu schalten ?
neutral	3	23440	Darauf noch ein Schluck Wasser!
negative	3	154046	Meine Brille ist kaputt. Wie das passiert ist? Mir ist eine Wii auf den Kopf gefallen. Ja; eine Nintendo Wii.
neutral	3	36860	Du ziehst um? Wenn du Hilfe brauchst; sag mir bitte nicht Bescheid.
negative	3	15341	Wenn einen der Schmerz von innen auffrisst...
neutral	3	19695	Kleines rotes Tier lutscht am Daumen.
neutral	3	43007	Aktuelles Urteil: Vorsicht beim Erwerb gebrauchter #Software - Hersteller darf #Schadensersatz fordern - ~http 
neutral	3	32994	"Komm zum Punkt! für Geschäftsleute" als kostenlose Kurzversion zum Download: ~http 
neutral	3	12892	New Post:  LG Smartphone mit Dualscreen und Split-Keyboard gesichtet ~http 
neutral	3	36348	ufem weg nach zöri
neutral	3	12859	Glühlampe brennt seit mehr als 100 Jahren: ~http
neutral	3	28794	Einstweilige Verfügung gegen „Das Amt und die Vergangenheit“ – allerdings wirksam nur für zukünftige Auflagen ~http 
neutral	3	42622	#1: Sony DCR-SX15EB SD Camcorder (50-fach opt. Zoom; 6;8 cm (2;7 Zoll) Display; bildstabilisiert) schwar... ~http  #kamera
neutral	3	28438	Schnäppchenjäger aufgepasst: der #Kodak Multifunktionsdrucker #ESPC310 bei Media Markt im Angebot! ~http
negative	3	17066	Beides ist nicht schön. RT @user ich weiß nicht was ich machen soll... morgen wieder schule :(
neutral	3	66595	Oschersleben: Abt will den Sieg: Die Abt-Piloten wollen die Stärken des Audi A4 auf der Strecke in Oschersleben aus ~http 
neutral	3	21197	Katzen Abendbrot gab es auch schon und schon wird wieder rumgelümmelt
neutral	3	12993	Heute ab 15.00 Uhr spielen wir wieder Fußball (vor'm Schwimmbad) mit Freunden und Freundesfreunden. Wer will kann gerne kommen.
neutral	3	41059	Wie sicher ist die deutsche "SwissID"? ~http 
neutral	3	19094	Konfliktlösung für Männer: ~http  #notch #q3a  Haben wir damals auch gemacht. Dabei ging's allerdings eher ums Abwaschen.
neutral	3	34613	Unser Team wächst: Die Medienwissenschaftlerin Juliane Lungershausen ist seit Anfang 2011 Junior Beraterin. ~http 
negative	3	162726	überall werbung zu sehen auch youtube o.O ich sags euch kauft nie microsoft produkte sie ziehen nur leute ab!!!!!
neutral	3	8102	ok ich fatz dann mal zum flegga
neutral	3	32117	Check out: "Die Steinsuppe - oder: aus Wenig einen Erfolg machen" ~http 
negative	3	15486	"Social Media muss professionell werden" - wenn ich sowas lese; kommt mir das Frühstück wieder hoch. Wir brauchen hier keine Drücker; Leute!
neutral	3	31870	Erinnerung: Unsere Jubiläumsaktion mit der Ihr 5% Extrarabatt auf alles erhaltet läuft nur noch bis Ende des... ~http
na	3	9226	ach scheiße man mein laptop ist am arsch freu mich schon auf heute nach mittag!!! Miriam &lt;3
neutral	3	38347	Es sind wieder viele stark reduzierte #Airsoft Vorführmodelle am Lager. Lieferung nur solange der Vorrat reicht! ~http
neutral	3	35644	Linkbuilding Studienarbeit + Fallstudie veröffentlicht ~http  via @user
neutral	3	8666	#Smartphone Schnäppchen von Nokia; HTC; Samsung und Sony Ericsson ~http 
neutral	3	771	Kanadas Bruttoinlandsprodukt fällt im zweiten Quartal zurück #kanada ~http 
neutral	3	20906	Ich habe ein YouTube-Video kommentiert. ~http 
neutral	3	12890	New Post:  Sony S1 & S2 Teaser Video veröffentlicht ~http 
neutral	3	44431	Heut Abend: #Tatort: Der glückliche Tod ~http
positive	3	19336	Nie mehr ohne dich-ich liebe dich :-*
neutral	3	80789	Dürfen die das abgebrannte Sony-Warenhaus in London zeigen? Es enthält/enthielt ja schließlich Content von Sony Music Entertainment! #London
neutral	3	45776	#Demner; #Merlicek und #Bergmann gewinnen Corporate #Werbeetat Pitch von #OMV //mg
neutral	3	66609	Audi wähnt sich noch nicht in Sicherheit: Martin Tomczyk ist seit Brands Hatch DTM-Spitzenreiter; doch bei Audi wei ~http 
neutral	3	11142	Google kauft Patente von IBM ein ~http 
neutral	3	5767	Bei Les Mads suchen sie eine neue Bloggerkollegin und Jaokob von Dandy Diary verrät; wer seine Favoritin ist.... ~http 
neutral	3	29070	Pics on: ~http
negative	3	8420	Argh; all die Videospiel-News allein zu posten ist echt nervig und anstrengend! Helft mir bitte und meldet euch im Nintendo Gamer Forum!!!
neutral	3	8714	Gerade gehört: Ein #Atom verhält sich zu einer Orange; wie eine Orange zur Erde
negative	3	41732	Keine Lust mehr DX Ich waere fast in Braunschweig stecken geblieben &gt;&gt;
positive	3	17237	Playstation Network passwort wieder gefunden =)
neutral	3	16679	Liebe Freunde; bitte stimmt bei der funny-frisch Chips-Wahl 2011 für mich als Chips-Tester! ~http 
neutral	3	7537	Twee Free wird im Juli aus dem App Katalog entfernt. Eine Twee2 Testversion ist derzeit nicht geplant #webos #palm #pre #pixi
neutral	3	4752	#DdoKwn:  Mit einem Taschenmesser; Bindfaden & Büroklammer kann man Bomben bauen; Reaktoren reparieren & Sicherheits- systeme lahm legen
neutral	3	16030	"Finest-Electronic-Beats" Klangraum NÜRNBERG / FÜRTH 106;5 MHz - ERLANGEN 106;2 MHz KABEL DEUTSCHLAND 103;9 MHz - KABEL… ~http 
neutral	3	61560	Verewige dich unter ~http  als Kapitän der Fußball Nationalmannschaft in einem von 2000 exklusiven adidas SPORT 2000 Superpostern!
neutral	3	8468	Fronius und Linde zeigen gemeinsamen Brennstoffzellen-Schlepper ~http
neutral	3	17568	Ein Angestellter in einer sehr großen Firma nimmt das Telefon; wählt und sagt: "Mein Schatz; heb deinen süßen ...~http 
neutral	3	47037	Beim #10. #Cello #Festival wird es an 3 Tagen #öffentl. #Workshops geben; geleitet u.a. von  #Maria #Kliegel; #Natalia #Gutman; #Arto #Noras
neutral	3	13186	now @user am Set von "Der Deutsche Freund"  mit Max Riemelt uvm.... ~http 
neutral	3	18175	Adobe Illustrator - Grundlagen: 3D-Werkzeuge in Illustrator - PSD-Tutorials.de ~http  via @user
neutral	3	23025	Tramparty Zürich ~http 
neutral	3	40802	Die Online-Wunschliste nur hier mitmachen! ~http 
neutral	3	36471	Ich hab kleine Füße und trotzdem große Titten.
neutral	3	36789	experiment: wildleder in der waschmaschine.
negative	3	21858	Vermisse sie einfach. aber trau mich nicht es ihr mal zu sagen.
neutral	3	23760	Schüchternheit ist nicht gefragt ~http 
negative	3	35624	#Bad Ems hat soviel Flair wie ne Scheibe Toastbrot.
neutral	3	13173	Ich habe 2 Fotos im Album „~ Konzerte ~“ auf Facebook gepostet ~http 
neutral	3	46827	Die nächste Party steht an und Sie wissen nicht; was Sie mitnehmen sollen? Schenken Sie doch eine Flasche Echte... ~http 
neutral	3	24812	für alle die es nicht wissen wollen: "knurd" heißt "drunk" auf rückwärts; das heißt; dass man erst mal eine Flasche Wein trinken muss; ...
neutral	3	6746	Viacom verliert vor Gericht gegen Google ~http 
positive	3	12361	hab grad dein Trailer gesehen zu deiner Sendung auf einsfestival. Huhu ich freu mich schon :D. Kommt des jeden Donnerstag?
neutral	3	45298	Jungs; die mit den Fan-Postern ihrer Mädels konkurrieren wollen; werden nicht umhin kommen; Robs verwegenen Style zu klauen.
positive	3	144031	Freut sich auf Ihren Sony Ebook Reader!
neutral	3	41559	#Bispingen. Heute ist "Sturzfest"!!!!!!~http 
neutral	3	8472	Nach Daimler und Opel will auch Audi Brennstoffzelle ~http 
neutral	3	15394	via/ @user Immobilienangebot: chice 2 Zimmer #Wohnung in #Dresden Kleinzschachwitz; absolut ruhig und elbnah; 62 m²  ~http
neutral	3	17725	Philippe Courard im Gespräch: 80 Millionen Arme in der EU ~http 
neutral	3	5836	Rhein-Neckar Zeitung - Politik trifft Jugend - Dann steht ein Schüler im "Piraten-Partei"-T-Shirt auf und fragt..- ~http 
neutral	3	14881	Brainstorming (päd. auch Thesengarten genannt ;-)) zum Thema Kinder- und Jugendstufe #kjgdk
neutral	3	40695	Von einem ganz ungefährlichen Pferdevirus - mz-web.de ~http
neutral	3	12544	Das LLR Outfit für den heutigen Tag! #Bday #3Jahre ^JO ~http 
neutral	3	35542	Gabriel will Langzeitarbeitslosen helfen. Selbstzweck oder Nächstenliebe?
neutral	3	4282	BGH-Entscheidung zur Rückforderung schwiegerelterlicher Zuwendungen ~http
neutral	3	42225	Schlägt am 5. November die letzte Stunde von Facebook? ~http 
positive	3	27742	So; noch ein letztes mal alleine schlafen; dann hab ich endlich @user wider *freu*
neutral	3	23568	Female-Resources: Das war die 43. Kalenderwoche: #Frauen - #Wirtschaft - #Politik ~http 
neutral	3	16653	Ich will ein Samsung Galaxy S2 bei Androidsforum.de gewinnen! Gewinnspiel auf ~http
negative	3	32535	Herr Holm ist alt geworden.. Und immer noch nicht witzig!
positive	3	38684	steinofen flammkuchen käse lauch.. beste was grade geht.. lecker lecker lecker.. (:
positive	3	12362	Bald kommt mein bestelltes Spiel an. "Naruto S. Ultimate Ninja Sotrm 2" Ich freu mich schon. Ich wills jetzt schon haben.
neutral	3	38441	Boho; Hippie und Ethno Styles - Geschichte + Styling Tipps - ~http 
neutral	3	23041	Blogartikel Yasni: Medienwelt wird aufmerksam ~http 
neutral	3	16830	Aufsteiger Platz #1: Nike Swoosh stirnband ~http 
neutral	3	29975	So ganz unrecht hat er nicht.
neutral	3	20794	der Wortkünstler  hält uns auf dem laufenden. RT @user Heute geht ramadan los !
neutral	3	81520	So; für alle Interessierten; ich habe eine Mail vom Samsung Kundenservice/Support erhalten mit folgendem Inhalt (vielle ~http 
neutral	3	28217	Palatschinken und Topfencreme mit Brombeer-Balsamico-Ragout ~http  @user #rezept #kochen #lecker #rezepte #dessert
neutral	3	4479	“Abmahnung” per Email von APW ist ein Fake: Wer in diesen Tagen eine angebliche Abmahnung per Email von den Rech... ~http 
negative	3	32701	Glückwunsch #SPD Lehrte: katastrophale Zustände im neuen #OBI. Aber das stört dich ja schon länger nicht mehr. ~http 
neutral	3	19271	Nicht nur was für Highspeed-Leser; Leseratten; Weihnachtsmäuse und sonstige Boandlkramer: ~http 
neutral	3	42486	! Persermix sucht neues zu Hause in Krefeld: Verschmuster Weiss-Roter Kater ca. 9 Wochen sucht... ~http  ~http
positive	3	36823	Angeschlossen und klingt einfach nur fett :) #Teufel
neutral	3	5352	Kantoos Economics - Yglesias sagt wie es ist: Das Problem an QE ist nicht das ; sondern das ~http 
na	3	2070	Für all das; was ich fühle; wird es niemals die passenden Worte geben.
neutral	3	82722	[Gerücht] Nozomi: Sony Ericssons neues Flaggschiff: Offenbar wird bald ein neues Flaggschiff von Sony Ericsson i... ~http 
neutral	3	39588	Exklusive Eigentumswohnung mit Fahrstuhl Wohnung; 26123 Oldenburg-Donnerschwee Kaufpreis: 246.500 €; Baujahr: 2011… ~http
positive	3	11916	musik hören und gitarre spielen :)
neutral	3	142713	Gewinnspiel: Dead or Alive Dimensions sucht einen Gewinner! - Planet3DS.de - Nintendo 3DS News: ~http  via @user
neutral	3	26649	Folgt ihr @user #ff
negative	3	2961	vor 12 stunden lagen wir noch zusammen am strand. ach man :/
neutral	3	18930	Kann man im Januar nach Bali fliegen? ~http 
neutral	3	20964	Kleinanzeigen kostenlos bundesweit inserieren ~http 
positive	3	43894	So Ihr Lieben! Ich wünsche euch einen guten Rutsch ins neue Jahr! Feiert schön und macht nichts; was ich nicht auch bereuen würde ;-))
neutral	3	132018	Jetzt wärs noch toll; wenn mein Samsung Galaxy sII morgen oder am Samstag noch kommen würde...
neutral	3	14664	Handle jetzt! Nutze diese einmalige Chance; um mit Riesenschritten voranzuschreiten. Revolutioninäres neues System ~http
neutral	3	105254	Für alle Samsung Galaxy I9000 Besitzer: Ab heute könnt ihr via Kies offiziell auf 2.3.3 updaten
neutral	3	154132	Spezial zur IFA: Microsoft Office Professional Plus 2010 für 59;90 Euro ~http 
positive	3	8392	habe seit heute einen mac book pro zu hause stehen :-) liebe ihn
neutral	3	150927	Die passende Strategie für Microsoft Office 365 ~http  via @user #Avanade
neutral	3	37450	#Flamenco ist unhabhängig von Kostüm und Aussehen. HIer der ~http
negative	3	28015	Ah... Gary Oldman ist in dem Film so ein Ekel....
neutral	3	17879	Die 'Harry Potter'-Stars früher und heute‎ ~http 
positive	3	6503	(Deswegen ist mir mein Bio-Lehrer sehr sympathisch ;D)
neutral	3	42524	! Tischplatte aus Echtholz in Krefeld: Eigenbau; lackiert; geringfügige Beschädigungen an zwei... ~http  ~http 
neutral	3	4324	Interessante Mitteilungen in der Sache Apple vs. Samsung in Düsseldorf: @user
neutral	3	34258	Das letzte goldene Ei hatte sich bei der Samsung HMX-Q10 Schwarz versteckt.
neutral	3	22934	Flucht durch das Fenster - Barmbek: Frau (26) in Stacheldraht-Gefängnis gefangen gehalten! ~http
neutral	3	33536	Die Marke #Durex bekommt einen neuen Besitzer. Wer weiß; was dann wird - deshalb jetzt sofort Panikkäufe starten! ~http 
neutral	3	34294	Spartakus auf RTL
neutral	3	133335	#Gewinnspiel: Samsung Galaxy S II - ~http  #Schweiz
neutral	3	23589	Sind Arbeitszeugnisse wertlos?      ~http                         #CallCenter #Teamleiter ~http 
neutral	3	28432	Kennt Ihr unsere neuen Helden schon? Nein?! Dann schaut sie Euch mal an; denn mit ihrer Hilfe könnt Ihr ab jetzt... ~http
neutral	3	32051	und @user machen sich gerade mit  nate dogg und Area Codes ready für booooooooooooooooom bap! Pb`s @user finest legt auf...
neutral	3	27244	Schutz vor dubiosen Firmen- ~http 
neutral	3	156495	Apple gegen Samsung - Erneut manipulierte Bilder bei Klage verwendet ~http  via @user
negative	3	130486	Kann man Domains bei #Strato mit Microsoft Office 365 (#BPOS) nutzen? Es scheint; als könnte man die NS-Records nicht ändern. :-(
neutral	3	129043	Preiskampf um Roaming-Tarife - Verkaufs-Charts der Smartphones: Apple iPhone 4 und Samsung Galaxy S führen. ~http
positive	3	24378	Manchen Leuten folge ich nur aus @user. Höhöhö. Total witzig und neu. Gerade frisch ausgedacht. Gab's noch nie!
neutral	3	4353	Causa Apple Inc. vs. HTC: Rollt jetzt der Lizenzrubel? ~http 
neutral	3	4328	Apple vs. Samsung LG Düsseldorf: Verdacht auf inkorrekte Seitenverhältnisse bei Beweisfotos ~http 
neutral	3	19052	ich weiß nich...die große Twitter zeit ist vorbei..bin eher am Fasebooken..
negative	3	22575	Das Niveau hat mal wieder abgesagt...ab mit dem Kopf!
neutral	3	17207	„Ich beschäftige mich nicht mit dem; was getan worden ist.  Mich interessiert; was getan werden muss.“   Marie Curie
neutral	3	42349	"Einzelkind" hört sich komisch an. "Alleinerbe" finde ich besser
neutral	3	46723	was @user heisst? Ganz easy: Deutschlands weltbestes Dossier; Leute!
neutral	3	35396	Hi Gays; ist euch auch so schwül heute?
negative	3	13509	dann gibts da noch die menschen; die sich einfach mal gar nich mehr melden und man sich fragt; was das eigentlich soll u_u
neutral	3	33712	Veranstaltung: Medellin’s International Jazz Festival: Schedule ~http  #Kolumbien #Jazz #Südamerika
neutral	3	23972	Ich glaube nichts; ich glaub an dich; glaubst du an mich; ich glaub ich auch.
neutral	3	35191	Nintendo gewinnt Rechtsstreit mit BigBen um Wii-Remote: BigBen; auf jeder Konsole bekannt für ihre günstigeren A... ~http
neutral	3	45047	Comment on NRW: Erdbeben der Stärke 4;4 by Florian: In Marl war es auch deutlich zu spüren!     ~http 
neutral	3	1276	eBooks mobil kaufen & lesen: Ab sofort gibt's die Libri.de eBookS App für Samsung Smartphones und Samsung Tablets ~http 
neutral	3	44456	Das sagt der #Focus zum #Schimanski #Tatort ~http 
neutral	3	12636	Wird beim Islam-Studiengang an der Uni Tübingen dann türkisch gesprochen?
neutral	3	103102	Markteinführung: Samsung Galaxy Note kommt im Oktober 2011 ~http  #Samsung #GalaxyNote #Smartphone
negative	3	40097	Ehrlich ey. schon wieder keinen Bock mehr. &gt;_&gt; Wie kann man so verblendet sein?
neutral	3	5888	Anastasia? Aguilera? Kann mich bei Naja Maja! nicht entscheiden #esc
neutral	3	15159	Läd sich gerade die 10 NES Spiele des Nintendo Ambassador Programmes herunter.
neutral	3	22569	Saxophon - ~http  Informationen und wissenswertes Ã¼ber das #Saxophon (by ~Danyel)
neutral	3	60260	Bin auf der Suche nach dem günstigsten Preis für den Samsung 40LE-B650. Bin bei 769€ Bei unter 750€ schlag ich zu!
positive	3	19553	Hatte einen wunderbaren Abend.. :)
neutral	3	42293	Read my response to "Wähle: Karneval in Venedig oder Polarforschungsschifffahrt?": ~http 
positive	3	32071	Morgen nach der Arbeit zu Dodo (:
neutral	3	105242	Trotz Apple-Klage: Samsung Galaxy Tab 10.1 bei Vodafone erhältlich ~http  via @user
neutral	3	17313	Joschka Langenbrinck #SPD ~http  #Statement #Berlin #Mobbing
positive	3	30660	Weil´s Spaß macht! #ff @user @user @user @user @user @user
negative	3	34278	Zurück in Düsseldorf - war klar dass das Wetter schlecht ist...
positive	3	39023	Der morgen ist da und was ist? Einer der Akkus geht wieder! :-)
neutral	3	44682	Jetzt nur noch Einleitung und Schluss schreiben
positive	3	3247	Mhhh; wüüünderschööönes Wochenende!!! ♥
positive	3	8003	Gleich gehts nach Hannover zum Einkaufsbummel. Freu mich schon; war schon ewig nicht mehr in Hannover :)
neutral	3	43796	MARANXA-deutsch /////////////////////////////////////////// Es gibt mehr... Posted: 29 Aug 2011 11:46 PM PDT http:.. ~http 
positive	3	43628	allen einen wunderschönen guten morgen. geniest den tag und Gönnt euch selber oder euren Liebsten was. ~http 
neutral	3	105265	Kann mir jemand sagen wo ich ein Samsung Galaxy S2 am schnellsten herbekomme? Evtl. Auch aus dem Ausland?
neutral	3	44434	Neuer #Münster #Tatort: Boerne und Thiel drehen am Kanal und an der Uniklink ~http 
positive	3	18334	Mein neuestes Hobby: Im Frankentipps-Ticketsystem die ausgefallensten Saalpläne als Szenarientest anlegen;-) Macht Spaß!
neutral	3	12286	Firefox 7 Beta 2 veröffentlicht: Nach etwas mehr als einer Woche gibt es nun die Beta 2 von Firefox 7 zum Downlo... ~http 
neutral	3	32788	Fuzzy-Logik: Verallgemeinerung der griechischen ODER-Logik; unscharfe Mengen-Zugehörigkeiten (unscharfe Mengenlehre): Systemische UND-Logik!
neutral	3	28955	#Jobs KFZ- Mechaniker (m/w): Mit durchschnittlich rund 63.000 Mitarbeitern und 500 Niederlassungen in rund 300 S... ~http 
neutral	3	11281	Meine Woche auf Twitter: 1 Retweets erhalten; 1 Erwähnungen. Via: ~http 
na	3	102	neidhardt frühstücken gehen...  wird lustig wenn julian ma aufsteht!!
neutral	3	22645	Ich habe ein YouTube-Video zu meinen Favoriten hinzugefügt. -- Rube Goldberg Machine i... ~http 
neutral	3	34033	#Sprache #lernen Weitere Infos zu ** Polnisch ** Vokabeltrainer für #Gastro & #Tourismus finden Sie hier &gt;&gt; ~http 
positive	3	32129	Was für eine Aussicht! ~http 
neutral	3	33090	Guten Morgen liebe Sorgen; seid ihr auch schon alle da. Habt ihr auch so gut geschlafen? ~http 
positive	3	21437	yeeeah hab mir cooking mama gekauft :D
neutral	3	12283	Sicherheitsdialoge werden in Windows 8 reduziert: Wie Microsoft in einem älteren Blogbeitrag zu Windows 8 erwähn... ~http 
positive	3	98185	freut sich über seinen neuen sony vaio
neutral	3	40594	Es gibt ja verschiedene Bänke ... oder Banke ... Banks
neutral	3	8370	gefällt Seit Vorgestern von Feinkost bei Ping ~http  #iTunes
neutral	3	46334	Ich stolperte über die Verwechslung von BuKo (Bundeskongress) mit BuKo (Frischkäse).  Imo is Frischkäse aber auch unwichtig! #BuKo #Julis
neutral	3	46274	Tagesstatistik: 302 neue Beiträge; 16 neue Themen; 3 neue Galeriebilder! Verpasst? ~http 
neutral	3	180	Lichtgestalter Aachen: ~http
neutral	3	38310	Jetzt kostenlos Soldat werden auf @user ~http
neutral	3	74054	Bin wieder zu Hause und versuche; mich an mein neues Handy zu gewöhnen. Kennt sich jemand mit Samsung aus?
neutral	3	20693	Die Ausstellung "Die Dracula-Legenden" wird am 18.06. in Mirow im Unteren schloss eröffnet (Öffnungszeit: 10-18 Uhr). ~http 
neutral	3	40972	#WHS News: Phone Connector für WHS 2011 veröffentlicht: Microsoft hat gestern den “Windows ... ~http  @user #NAS
neutral	3	31205	11 Stunden geschlafen... oO wow!
neutral	3	43778	Marktmusikkapelle Schwanberg online. ~http 
positive	3	45857	Übermorgen kann ich schon sagen: "morgen gehts endlich nach hause zur tollsten frau der welt!" *träum*
neutral	3	168251	Turnschuhe für die Dritte Welt. Adidas kooperiert mit Nobelpreisträger Muhammad Yunus. Quelle: TextilWirtschaft
neutral	3	22619	alle 24 minuten ging 2008 an den aktienmärkten rechnerisch eine Milliarde Dollar verloren.
neutral	3	17891	Als weiteren Angriff gegen Nordkoreas Militärs hat #Apple #Lion das Launchpad eingebaut. Sozusagen dumbfire action...
positive	3	40514	Auf geht's Werder kämpfen und siegen!
neutral	3	31967	Ich möchte einen Lexmark All-In-One-Drucker bei @user gewinnen: ~http  #TechDepot
neutral	3	1614	Trainingslehrgang  in Freital bei Dresden mit  JKA Karate Instructor Julian Chees (5.Dan) mehrfacher Kata Weltmeister & Deutscher Meister
negative	3	40100	Haha das ist wirklich nur noch Kindergarten! Wie lächerlich! xD Dumme; unreife Kinder.
neutral	3	775	Erneut abgetrennter Fuß in Kanada angeschwemmt #kanada ~http 
neutral	3	8167	Na bumm - Hitler nicht mehr Ehrenbürger in Amstetten: ~http 
neutral	3	25588	Kostenloses Jomsocial 2.2.x Sprachpaket aktualisiert auf Knuddelesel.de ~http 
neutral	3	12290	Kostenlose VHD-Images für Microsoft Virtual PC: Benutzer von Windows 7 bekommen mit Microsoft Virtual PC die Mög... ~http 
